year,gradeLevel,cohort,label,subject,belowScore,meetScore,exceedScore,totalNotBelow,totalNotMeeting,totalNotExceeding,belowScore13,meetScore13,exceedScore13,totalNotBelow13,totalNotMeeting13,totalNotExceeding13,maxScore,minScore,avgScore,60th,60thtotToHere,60thdeduct,68th,68thtotToHere,68thdeduct,s12,s1totToHere,s1deduct,s23,s2totToHere,s2deduct,s34,s3totToHere,s3deduct,s45,s4totToHere,s4deduct,s56,s5totToHere,s5deduct,s67,s6totToHere,s6deduct,s78,s7totToHere,s7deduct,s89,s8totToHere,s8deduct,s9totToHere,q12,q1totToHere,q1deduct,q23,q2totToHere,q2deduct,q34,q3totToHere,q3deduct,q4totToHere,p12,p1totToHere,p1deduct,p23,p2totToHere,p2deduct,p34,p3totToHere,p3deduct,p45,p4totToHere,p4deduct,p5totToHere,q,test,pme,totalCount,totalWarning,totalBelow,totalMeet,totalExceed,pme13,totalWarning13,totalBelow13,totalMeet13,totalExceed13,zscore,oldPctEquiv,oldstanineEquivalent,paa60,paa68,paamed,mss,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,q1pct,q2pct,q3pct,q4pct,p1pct,p2pct,p3pct,p4pct,p5pct,cntaa60,cntaa68,cntaa50,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,q1cnt,q2cnt,q3cnt,q4cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,paaavg,awPct,blPct,mtPct,exPct,cdts,percentileEquivalent,awPct13,blPct13,mtPct13,exPct13,stanineEquivalent
2015,01,2026,ALG01,Math,0,0,0,0,0,0,0,0,0,0,0,0,847,650,724.0450,730,33079,419.7999999999993,736,37530,516.239999999998,678,2328,150.7199999999998,693,6008,20.47999999999957,706,14455,1935.6399999999994,716,21879,106.2000000000007,730,33079,419.7999999999993,744,42512,599.3600000000006,758,48676,231.5199999999968,772,52269,14.279999999998829,54432,706,14455,847,724,28718,1502,742,41283,459,54432,700,9996,1142,725,29275,557,750,45571,514,805,54352,7,54432,CPS,PARCC,100.0,54432,0,0,0,54432,0.0,0,0,0,0,0.037,51.5,5,40.0,32.0,50.0,724,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,16.3,36.5,30.0,17.1,0.2,21772.8,17418.2,27216.0,2177.3,3810.2,6531.8,9253.4,10886.4,9253.4,6531.8,3810.2,2177.3,13608.0,13608.0,13608.0,13608.0,8854.0,19864.0,16339.0,9288.0,87.0,50.0,0.0,0.0,0.0,100.0,NA,51.5,NULL,NULL,NULL,NULL,5.57
2015,02,2025,ALG02,Math,0,0,0,0,0,0,0,0,0,0,0,0,850,650,717.2731,724,20435,17.200000000000742,732,23170,27.959999999999145,655,1393,32.3964705882354,673,3757,14.170000000000076,690,8117,290.8100000000004,706,13670,56.799999999999265,724,20435,17.200000000000742,744,26356,151.18999999999872,763,30386,94.83000000000175,782,32675,0.11999999999898403,34037,692,8680,172.75,715,17118,103.50000000000001,741,25573,49.25,34037,700,11583,546,725,20648,213,750,27818,225,808,33814,16,34037,CPS,PARCC,100.0,34037,0,0,0,34037,0.0,0,0,0,0,0.063,52.5,5,40.0,32.0,50.0,715,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,32.4,27.6,21.0,18.2,0.7,13619.2,10895.0,17022.5,1360.6,2382.2,4083.4,5787.0,6804.6,5787.0,4086.4,2383.7,1362.1,8507.2,8507.2,8509.2,8513.2,11037.0,9398.0,7158.0,6205.0,239.0,50.0,0.0,0.0,0.0,100.0,NA,52.5,NULL,NULL,NULL,NULL,5.63
2015,03,2024,ELA03,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,734.4283,745,88790,1243.3999999999942,753,99717,497.520000000004,668,5940,103.5600000000004,685,16239,188.79000000000084,703,33680,120.47000000000119,724,60042,1677.5999999999985,745,88790,1243.3999999999942,764,112933,581.5299999999988,783,130206,345.2100000000064,803,140086,11.44000000000233,145911,706,37218,740.25,734,73483,527.5,761,109685,251.74999999999994,145911,700,30622,1221,725,60777,735,750,95556,1176,810,141939,280,145911,CPS,PARCC,100.0,145911,0,0,0,145911,0.0,0,0,0,0,-0.002,49.9,5,40.0,32.0,50.0,734,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,20.1,21.0,23.5,32.4,2.9,58364.4,46691.5,72955.5,5836.4,10213.8,17509.3,24804.9,29182.2,24804.9,17509.3,10213.8,5836.4,36477.8,36477.8,36477.8,36477.8,29401.0,30641.0,34338.0,47279.0,4252.0,50.0,0.0,0.0,0.0,100.0,NA,49.9,NULL,NULL,NULL,NULL,5.50
2015,04,2023,ELA04,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,740.5728,749,87039,754.8000000000029,756,98638,849.2400000000052,683,6117,364.72000000000025,700,16503,684.2299999999996,717,34166,1090.3899999999994,733,59085,1562.199999999997,749,87039,754.8000000000029,765,111864,1132.6100000000006,780,128295,306.7700000000041,797,138189,134.27999999999884,143807,719,36820,868.25,741,73047,1143.4999999999998,763,109113,1257.75,143807,700,16503,802,725,45914,1843,750,88759,1720,790,134966,526,143807,CPS,PARCC,100.0,143807,0,0,0,143807,0.0,0,0,0,0,-0.013,49.5,5,40.0,32.0,50.0,741,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,10.9,19.7,29.9,33.0,6.5,57522.8,46018.2,71903.5,5752.3,10066.5,17256.8,24447.2,28761.4,24447.2,17256.8,10066.5,5752.3,35951.8,35951.8,35951.8,35951.8,15701.0,28370.0,42968.0,47401.0,9367.0,50.0,0.0,0.0,0.0,100.0,NA,49.5,NULL,NULL,NULL,NULL,5.47
2015,05,2022,ELA05,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,739.5742,748,88126,403.00000000000006,755,100262,842.6000000000059,686,6173,324.8000000000002,700,16829,746.4500000000008,715,34311,683.8499999999985,732,60084,1602,748,88126,403.00000000000006,763,112679,101.14999999999424,778,130357,234.55000000000294,794,140767,410.20000000001164,146205,717,36949,397.75000000000006,740,73963,860.5,762,111219,1565.25,146205,700,16829,1047,725,48755,1672,750,91903,1779,799,142553,349,146205,CPS,PARCC,100.0,146205,0,0,0,146205,0.0,0,0,0,0,-0.013,49.5,5,40.0,32.0,50.0,740,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,10.8,21.4,29.4,35.6,2.7,58482.0,46785.6,73102.5,5848.2,10234.3,17544.6,24854.8,29241.0,24854.9,17544.6,10234.3,5848.2,36551.2,36551.2,36551.2,36551.2,15782.0,31301.0,43041.0,52080.0,4001.0,50.0,0.0,0.0,0.0,100.0,NA,49.5,NULL,NULL,NULL,NULL,5.47
2015,06,2021,ELA06,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,737.5778,746,88496,1195.3999999999942,752,99224,283.3200000000069,684,6397,576.96,699,16567,561.8899999999994,715,34333,867.7699999999968,730,58543,342.5999999999985,746,88496,1195.3999999999942,760,112142,106.22999999999591,775,130174,678.1100000000006,790,139903,222.04000000000815,145501,717,37241,865.75,738,73544,793.5000000000001,758,109129,3.249999999999971,145501,700,17515,948,725,49780,1731,750,95809,1772,790,139903,451,145501,CPS,PARCC,100.0,145501,0,0,0,145501,0.0,0,0,0,0,-0.013,49.5,5,40.0,32.0,50.0,738,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,11.4,21.6,31.6,31.2,4.2,58200.4,46560.3,72750.5,5820.0,10185.1,17460.1,24735.2,29100.2,24735.2,17460.1,10185.1,5820.0,36375.2,36375.2,36375.2,36375.2,16567.0,31482.0,45988.0,45415.0,6049.0,50.0,0.0,0.0,0.0,100.0,NA,49.5,NULL,NULL,NULL,NULL,5.47
2015,07,2020,ELA07,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,739.1079,749,85662,147.60000000000576,757,98269,1352.679999999993,675,5740,39.03999999999995,694,16637,959.3600000000006,713,33603,822.4800000000032,731,57271,261.4000000000015,749,85662,147.60000000000576,766,110848,1104.520000000004,781,126860,13.639999999999413,799,137167,343.95999999999185,142524,715,36035,404.00000000000006,740,71479,216.99999999999991,764,108005,1112,142524,700,21194,900,725,48658,1272,750,87326,1664,785,129909,796,142524,CPS,PARCC,100.0,142524,0,0,0,142524,0.0,0,0,0,0,-0.025,49.0,5,40.0,32.0,50.0,740,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,14.2,19.0,26.9,30.5,9.4,57009.6,45607.7,71262.0,5701.0,9976.7,17102.9,24229.1,28504.8,24229.1,17102.9,9976.7,5701.0,35631.0,35631.0,35631.0,35631.0,20294.0,27092.0,38276.0,43451.0,13411.0,50.0,0.0,0.0,0.0,100.0,NA,49.0,NULL,NULL,NULL,NULL,5.45
2015,08,2019,ELA08,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,739.6841,750,86832,899.3999999999942,757,97588,197.72000000000122,674,5817,88.15999999999987,694,16331,576.6900000000005,713,33386,445.1699999999982,732,58669,1380.5999999999985,750,86832,899.3999999999942,767,111296,1015.8300000000017,783,127871,404.3099999999977,801,137789,296.8399999999965,143221,716,36860,1054.75,741,72597,986.5,764,107454,38.249999999999936,143221,700,21029,1075,725,48399,1321,750,86832,1572,794,134756,601,143221,CPS,PARCC,100.0,143221,0,0,0,143221,0.0,0,0,0,0,-0.037,48.5,5,40.0,32.0,50.0,741,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,13.9,18.9,26.7,34.1,6.3,57288.4,45830.7,71610.5,5728.8,10025.5,17186.5,24347.6,28644.2,24347.6,17186.5,10025.5,5728.8,35805.2,35805.2,35805.2,35805.2,19954.0,27124.0,38182.0,48895.0,9066.0,50.0,0.0,0.0,0.0,100.0,NA,48.5,NULL,NULL,NULL,NULL,5.43
2015,09,2018,ELA09,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,736.0495,746,48147,699,754,54427,652.5999999999985,674,3357,193.80000000000018,690,9030,331.2000000000007,708,18728,539.5999999999985,727,32368,736,746,48147,699,763,60907,15.40000000000143,781,70515,133.8000000000029,799,75953,36.1999999999971,79080,710,19984,214.00000000000003,736,39795,255,761,59617,307,79080,700,14028,643,725,30776,733,750,51328,817,791,73994,261,79080,CPS,PARCC,100.0,79080,0,0,0,79080,0.0,0,0,0,0,-0.012,49.5,5,40.0,32.0,50.0,736,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,16.9,21.1,25.9,29.4,6.8,31632.0,25305.6,39540.0,3163.2,5535.6,9489.6,13443.6,15816.0,13443.6,9489.6,5535.6,3163.2,19770.0,19770.0,19770.0,19770.0,13385.0,16658.0,20468.0,23222.0,5347.0,50.0,0.0,0.0,0.0,100.0,NA,49.5,NULL,NULL,NULL,NULL,5.48
2015,10,2017,ELA10,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,730.6189,741,3369,17.400000000000095,750,3835,36.51999999999998,659,233,9.560000000000002,677,629,14.539999999999964,698,1312,27.220000000000024,719,2285,50.59999999999991,741,3369,17.400000000000095,761,4323,21.779999999999745,782,4972,0.4600000000000364,807,5378,15.4399999999996,5586,700,1397,0.49999999999999956,730,2812,19.000000000000004,758,4197,7.499999999999999,5586,700,1397,44,725,2583,51,750,3835,51,794,5193,17,5586,CPS,PARCC,100.0,5586,0,0,0,5586,0.0,0,0,0,0,0.014,50.6,5,40.0,32.0,50.0,730,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,24.2,21.1,22.4,24.9,7.3,2234.4,1787.5,2793.0,223.4,391.0,670.3,949.6,1117.2,949.6,670.3,391.0,223.4,1396.5,1396.5,1396.5,1396.5,1353.0,1179.0,1252.0,1392.0,410.0,50.0,0.0,0.0,0.0,100.0,NA,50.6,NULL,NULL,NULL,NULL,5.53
