year,gradeLevel,cohort,label,subject,belowScore,meetScore,exceedScore,totalNotBelow,totalNotMeeting,totalNotExceeding,belowScore13,meetScore13,exceedScore13,totalNotBelow13,totalNotMeeting13,totalNotExceeding13,maxScore,minScore,avgScore,60th,60thtotToHere,60thdeduct,68th,68thtotToHere,68thdeduct,s12,s1totToHere,s1deduct,s23,s2totToHere,s2deduct,s34,s3totToHere,s3deduct,s45,s4totToHere,s4deduct,s56,s5totToHere,s5deduct,s67,s6totToHere,s6deduct,s78,s7totToHere,s7deduct,s89,s8totToHere,s8deduct,s9totToHere,q12,q1totToHere,q1deduct,q23,q2totToHere,q2deduct,q34,q3totToHere,q3deduct,q4totToHere,p12,p1totToHere,p1deduct,p23,p2totToHere,p2deduct,p34,p3totToHere,p3deduct,p45,p4totToHere,p4deduct,p5totToHere,q,test,pme,totalCount,totalWarning,totalBelow,totalMeet,totalExceed,pme13,totalWarning13,totalBelow13,totalMeet13,totalExceed13,zscore,oldPctEquiv,oldstanineEquivalent,paa60,paa68,paamed,mss,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,q1pct,q2pct,q3pct,q4pct,p1pct,p2pct,p3pct,p4pct,p5pct,cntaa60,cntaa68,cntaa50,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,q1cnt,q2cnt,q3cnt,q4cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,paaavg,awPct,blPct,mtPct,exPct,cdts,percentileEquivalent,awPct13,blPct13,mtPct13,exPct13,stanineEquivalent
2015,01,2026,ALG01,Math,0,0,0,0,0,0,0,0,0,0,0,0,835,650,726.9822,730,20605,266.411538461538,736,23780,352.8809888751531,678,1300,65.55707317073163,693,3542,19.638356164383147,706,8221,691.369164582291,716,13020,103.51139240506397,730,20605,266.411538461538,744,27463,433.3979746835447,758,32250,177.9451239669397,772,35111,12.608195121950185,36836,706,8221,302.5302651325663,724,17379,611.8166339227242,742,26606,368.71875,36836,700,5691,455,725,17931,552,750,29835,386,805,36765,6,36836,CPS,PARCC,100.0,36836,0,0,0,36836,0.0,0,0,0,0,0.142,55.7,5,44.8,36.4,54.5,724,3.4,6.2,10.9,14.6,20.1,18.2,13.7,8.2,4.7,21.5,24.0,25.7,28.8,14.2,33.0,32.8,19.8,0.2,16497.4,13408.9,20068.8,1234.4,2287.9,4007.3,5386.9,7422.1,6691.0,5042.5,3026.3,1737.6,7918.5,8848.7,9470.1,10598.7,5236.0,12143.0,12070.0,7310.0,77.0,54.5,0.0,0.0,0.0,100.0,NA,55.6,NULL,NULL,NULL,NULL,5.78
2015,02,2025,ALG02,Math,0,0,0,0,0,0,0,0,0,0,0,0,850,650,717.3265,724,20385,17.200000000000742,732,23120,27.959999999999145,655,1383,32.3964705882354,673,3737,14.170000000000076,690,8086,289.3262755102045,706,13627,56.799999999999265,724,20385,17.200000000000742,744,26306,151.18999999999872,763,30336,94.83000000000175,782,32625,0.11999999999898403,33987,692,8649,172.75,715,17070,103.24694376528119,741,25523,49.25,33987,700,11546,546,725,20598,213,750,27768,225,808,33764,16,33987,CPS,PARCC,100.0,33987,0,0,0,33987,0.0,0,0,0,0,0.065,52.6,5,40.1,32.1,50.1,715,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,24.9,25.0,25.0,25.0,32.4,27.6,21.1,18.3,0.7,13619.2,10895.0,17020.2,1350.6,2372.2,4073.8,5773.5,6797.6,5787.0,4086.4,2383.7,1362.1,8476.2,8490.5,8507.0,8513.2,11000.0,9385.0,7158.0,6205.0,239.0,50.0,0.0,0.0,0.0,100.0,NA,52.6,NULL,NULL,NULL,NULL,5.63
2015,03,2024,ELA03,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,735.6394,745,69668,1008.3899096385495,753,78682,406.9990000000033,668,4512,81.08186046511659,685,12295,161.86049549549622,703,25608,95.95164383561739,724,46319,1309.7541528239192,745,69668,1008.3899096385495,764,89636,493.16836657169887,783,104140,280.7273773584958,803,112371,9.157705735662713,117092,706,28220,522.2232421875001,734,57184,407.1535181236674,761,86944,206.83425110132154,117092,700,23245,996,725,46995,676,750,75266,996,810,113923,230,117092,CPS,PARCC,100.0,117092,0,0,0,117092,0.0,0,0,0,0,0.027,51.1,5,41.4,33.2,51.5,734,3.8,6.6,11.4,16.7,20.2,17.5,12.6,7.3,4.0,23.7,24.8,25.6,25.9,19.0,20.6,23.9,33.7,2.9,48432.4,38817.0,60315.2,4430.9,7702.2,13378.9,19497.2,23650.4,20483.2,14716.4,8502.6,4730.2,27697.8,29079.1,29960.3,30354.8,22249.0,24070.0,27951.0,39423.0,3399.0,51.5,0.0,0.0,0.0,100.0,NA,51.1,NULL,NULL,NULL,NULL,5.55
2015,04,2023,ELA04,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,741.3274,749,69851,637.0493601462547,756,79444,706.8387018255621,683,4915,311.97862745098064,700,13105,470.9413466334161,717,27141,892.5845938628154,733,47070,1213.9227786752804,749,69851,637.0493601462547,765,90483,946.543871847308,780,104484,263.4772105843475,797,112950,116.39434426229407,117650,719,29308,762.122641509434,741,58458,939.8456858407078,763,88167,1067.2835223482323,117650,700,13105,552,725,36464,1450,750,71270,1419,790,110209,455,117650,CPS,PARCC,100.0,117650,0,0,0,117650,0.0,0,0,0,0,0.010,50.4,5,41.2,33.1,51.1,741,3.9,6.8,11.6,16.7,19.9,17.3,12.5,7.3,4.1,24.3,24.6,25.1,26.0,10.7,19.1,29.6,33.9,6.7,48436.0,38912.8,60131.8,4603.0,8031.0,13614.4,19607.7,23357.9,20322.5,14684.1,8613.1,4816.4,28545.9,28972.3,29581.6,30550.3,12553.0,22461.0,34837.0,39903.0,7896.0,51.1,0.0,0.0,0.0,100.0,NA,50.4,NULL,NULL,NULL,NULL,5.52
2015,05,2022,ELA05,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,740.1139,748,71297,328.333125389894,755,81503,708.9994275901595,686,5009,289.90413223140513,700,13564,621.6851957975174,715,27552,520.8863693075473,732,48305,1238.704918032787,748,71297,328.333125389894,763,91932,86.67030821917314,778,106858,201.38131313131564,794,115706,351.07207207208205,120178,717,29681,296.661558109834,740,59644,693.5305962343095,762,90681,1258.0250600240095,120178,700,13564,872,725,39110,1296,750,74491,1464,799,117200,304,120178,CPS,PARCC,100.0,120178,0,0,0,120178,0.0,0,0,0,0,0.004,50.1,5,40.9,32.8,50.9,740,3.9,6.8,11.7,16.7,19.9,17.4,12.3,7.2,4.0,24.5,24.6,25.4,25.6,10.6,20.9,29.3,36.5,2.7,49209.3,39384.0,61227.5,4719.1,8223.2,14088.8,20035.2,23902.4,20876.7,14811.3,8698.3,4823.1,29384.3,29566.1,30472.5,30755.0,12692.0,25122.0,35213.0,43869.0,3282.0,51.0,0.0,0.0,0.0,100.0,NA,50.2,NULL,NULL,NULL,NULL,5.51
2015,06,2021,ELA06,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,739.8526,746,68933,1013.3234660925677,752,78057,243.66172811060503,684,4234,407.7514163090129,699,11472,407.3359046454763,715,24858,671.5406030150729,730,43968,274.2385193753603,746,68933,1013.3234660925677,760,89283,92.86091836734336,775,105150,613.6939024390249,790,113783,200.37756097561711,118810,717,27094,664.2345034788109,738,56355,664.1298157453937,758,86647,2.7963671128106826,118810,700,12162,690,725,36924,1369,750,75135,1501,790,113783,407,118810,CPS,PARCC,100.0,118810,0,0,0,118810,0.0,0,0,0,0,0.058,52.3,5,42.8,34.5,53.1,738,3.2,6.1,11.0,16.4,20.4,17.9,12.9,7.6,4.4,22.2,24.6,26.1,27.1,9.7,20.3,32.1,33.5,4.6,50890.3,40996.7,63119.1,3826.2,7238.4,13121.8,19507.3,24225.9,21270.5,15346.2,9046.3,5227.4,26429.8,29261.1,30953.3,32165.8,11472.0,24083.0,38079.0,39742.0,5434.0,53.2,0.0,0.0,0.0,100.0,NA,52.3,NULL,NULL,NULL,NULL,5.62
2015,07,2020,ELA07,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,741.1512,749,68767,128.53205741627298,757,79657,1197.751480241119,675,4109,28.914351585014373,694,12497,732.5676755687442,713,25799,645.7154072620242,731,44842,217.39828815977302,749,68767,128.53205741627298,766,90641,962.7505728789013,781,104853,12.142565217390782,799,114121,311.07493540050945,119004,715,27766,330.6666666666667,740,56714,183.55986696230593,764,88163,970.7936507936508,119004,700,16026,701,725,37822,1016,750,70211,1444,785,107577,701,119004,CPS,PARCC,100.0,119004,0,0,0,119004,0.0,0,0,0,0,0.032,51.3,5,42.3,34.1,52.5,740,3.4,6.5,11.3,16.4,20.2,17.7,12.7,7.5,4.4,23.1,24.4,25.8,26.7,12.9,18.1,26.9,32.0,10.2,50365.5,40544.8,62473.6,4080.1,7684.3,13388.9,19471.3,24013.9,21039.8,15162.6,8969.1,5194.1,27435.3,29095.1,30661.8,31811.8,15325.0,21481.0,31961.0,38109.0,12128.0,52.5,0.0,0.0,0.0,100.0,NA,51.3,NULL,NULL,NULL,NULL,5.56
2015,08,2019,ELA08,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,741.9850,750,69434,748.9278625954149,757,78746,174.8376437976449,674,4211,66.67297491039416,694,12133,425.25384732824466,713,25379,343.74352941176335,732,45829,1106.951662404091,750,69434,748.9278625954149,767,90767,912.04045052293,783,105572,368.547936117934,801,114636,269.8545454545423,119652,716,28149,844.1228003060444,741,57425,827.9199598124582,764,87362,33.82672349888801,119652,700,15737,818,725,37436,1074,750,69434,1309,794,111864,558,119652,CPS,PARCC,100.0,119652,0,0,0,119652,0.0,0,0,0,0,0.027,51.1,5,42.6,34.3,52.7,741,3.5,6.3,11.1,16.5,20.0,17.7,12.8,7.7,4.4,22.8,24.5,25.7,27.0,12.5,17.9,26.5,36.1,7.0,50966.9,41080.8,63054.9,4144.3,7563.4,13327.5,19686.8,23963.0,21169.9,15348.5,9162.7,5285.9,27304.9,29292.2,30731.1,32323.8,14919.0,21443.0,31763.0,43181.0,8346.0,52.7,0.0,0.0,0.0,100.0,NA,51.1,NULL,NULL,NULL,NULL,5.55
2015,09,2018,ELA09,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,741.7979,746,32538,548.9229871645274,754,37635,535.4018087855286,674,1545,95.61655629139082,690,4640,202.70539419087183,708,10675,339.33608247422586,727,20359,518.5454545454545,746,32538,548.9229871645274,763,43046,12.571428571429738,781,51402,114.56266094420849,799,56299,33.761658031085375,59234,710,11526,143.9072463768116,736,25951,199.16276346604215,761,41980,259.16602809706256,59234,700,7671,406,725,19219,557,750,35111,652,791,54504,237,59234,CPS,PARCC,100.0,59234,0,0,0,59234,0.0,0,0,0,0,0.139,55.6,5,46.0,37.4,56.5,736,2.4,5.0,10.0,16.0,20.5,18.6,13.9,8.4,5.0,19.2,24.3,27.0,29.6,12.3,19.2,26.7,33.4,8.4,27244.9,22134.4,33482.2,1449.4,2987.9,5898.4,9504.8,12148.6,11044.4,8254.0,4977.8,2968.8,11382.1,14369.7,15969.0,17513.2,7265.0,11397.0,15797.0,19808.0,4967.0,56.6,0.0,0.0,0.0,100.0,NA,55.5,NULL,NULL,NULL,NULL,5.78
2015,10,2017,ELA10,Reading,0,0,0,0,0,0,0,0,0,0,0,0,850,650,730.6189,741,3369,17.400000000000095,750,3835,36.51999999999998,659,233,9.560000000000002,677,629,14.539999999999964,698,1312,27.220000000000024,719,2285,50.59999999999991,741,3369,17.400000000000095,761,4323,21.779999999999745,782,4972,0.4600000000000364,807,5378,15.4399999999996,5586,700,1397,0.49999999999999956,730,2812,19.000000000000004,758,4197,7.499999999999999,5586,700,1397,44,725,2583,51,750,3835,51,794,5193,17,5586,CPS,PARCC,100.0,5586,0,0,0,5586,0.0,0,0,0,0,0.014,50.6,5,40.0,32.0,50.0,730,4.0,7.0,12.0,17.0,20.0,17.0,12.0,7.0,4.0,25.0,25.0,25.0,25.0,24.2,21.1,22.4,24.9,7.3,2234.4,1787.5,2793.0,223.4,391.0,670.3,949.6,1117.2,949.6,670.3,391.0,223.4,1396.5,1396.5,1396.5,1396.5,1353.0,1179.0,1252.0,1392.0,410.0,50.0,0.0,0.0,0.0,100.0,NA,50.6,NULL,NULL,NULL,NULL,5.53
