q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2000,03,2009,55685,200,120,156.1202,-0.243,5.01,36.3,40.4,38.8,24.9,18.7,17.6,161,36.3,28.3,22.4,7.4,11.9,17,18.5,16.8,12.1,8.3,4.9,3,26.1,26.8,23.2,20.4,3.5,54.4,null,17.7,27.9,38,16.4,null,null,null,null,21618.1,13875.6,10415.1,9776.1,20191.2,15779.3,12477.6,4147.7,6614.9,9470.7,10293.5,9379,6748.8,4600.9,2747.2,1682.4,14524.6,14907.2,12925.9,11378.9,1948.4,9859,15516,21163,9147,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,28.852065131056186,1069.2118270079436,629.1394721906928,627.3069958847743,437.4530410183873,192.76480380499427,469.25312605610054,868.251877527441,811.4449120784093,478.52149243466437,489.3663286004037,826.4368241945301,520.2084536190487,425.3499599999992,179.42999975903768
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2001,03,2010,54939,200,120,158.6251,-0.273,4.95,37.1,39.2,37.9,24.9,19.1,18,163,37.2,29,23,7.6,11.6,16.3,18.4,17,12.5,8.3,5.1,3.1,24.4,28.6,21.3,22.5,3.1,60.7,null,14.1,25.3,40.6,20,null,null,null,null,20840.6,13672.9,10518.9,9906.6,20425.5,15950.9,12648.8,4175.2,6375.4,8966.8,10116,9354.7,6849.3,4546.2,2825.9,1729.5,13410.9,15720,11719.9,12383.2,1705,7731,13879,22325,11004,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,769.3620122237892,52.49752097635378,542.5746568463345,49.80846017699093,1211.4108664155306,1136.5940750415557,477.577376276512,1667.9015676141241,601.573012048192,774.4133237306447,42.544200626961626,333.0502653225822,110.07141798816573,639.1444444117625,17.962170645163287
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2002,03,2011,56310,200,120,158.9232,-0.255,4.99,36.8,39.9,38.5,24.7,19,17.8,163,36.8,28.7,22.8,7.7,11.8,16.6,18.3,17,12.2,8.3,5.1,3.1,23.3,28.7,24.6,17.9,5.4,60.6,null,13.2,26.2,39,21.5,null,null,null,null,21676.9,13923.7,10673,10036.4,20709.4,16135.9,12833.4,4338.6,6618.3,9363.2,10298.9,9555.2,6875.1,4652.8,2851.3,1756.7,13126.1,16188.1,13873.3,10066.4,3056.1,7452,14752,21973,12133,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,527.1453701441491,478.4013303769408,624.3569794050339,492.4215895196502,412.1286032138438,1883.9292255069613,85.07040650406351,432.87590082644755,776.7776253298167,661.9849094316036,187.68521739130253,1215.9488146887968,503.80395134146465,74.49834857143021,731.1228667692292
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2003,03,2012,58046,200,120,159.2846,-0.236,5.03,36.3,40.7,38.4,25.3,18.9,17.4,164,36.3,28.2,22.3,7.6,11.5,16.8,18.6,17.2,12.2,8.2,4.8,3,21.6,32.5,21.7,20.9,3.3,62.5,null,12.4,25.1,40.8,21.7,null,null,null,null,22303.3,14678.2,10979.2,10085.4,21064.5,16344.3,12940.4,4397.2,6701.7,9780.4,10819.5,10002.8,7104.4,4738,2772.4,1729.5,12510.6,18886.7,12585.1,12127.8,1935.8,7214,14581,23662,12589,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,1527.6972602739734,825.542010173654,395.3542706193128,305.7889196675902,1011.0721769499422,915.6934112149522,192.145568381921,869.328813559322,603.9317385257282,470.89780805687275,549.4690591658617,1729.4481967346949,493.71674468571655,521.6439611764695,154.83678975903723
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2004,03,2013,54112,200,120,160.8220,-0.261,4.98,38.3,39.7,36.7,25,20.1,18.2,166,38.4,29.9,23.5,7.4,11.2,15.8,18.2,17.7,13,8.7,5.1,3,22.5,26.9,25.5,19.8,5.3,68.2,null,12,19.8,43.9,24.3,null,null,null,null,19840.4,13511.3,10893.9,9866.3,20760.2,16152.6,12712.8,3987.4,6048.5,8529.3,9834.2,9560,7053,4689,2783.5,1627.1,12161.2,14562,13773.3,10731.5,2884.1,6506,10702,23752,13152,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,138.55065055762051,2083.208429118774,1000.2778853601859,554.6257684210525,1021.0934848484846,441.82393244575906,645.6370624571038,810.6070430408071,233.62616834495066,605.613414348462,170.08582857143128,532.8280228828834,1235.8460611200012,463.5885238759709,724.0966815306141
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2005,03,2014,50800,200,120,161.4618,-0.221,5.06,38.8,41.3,36.5,24.7,20.3,18.5,165,38.8,30.3,23.7,7.8,11,15.4,18,17.6,13.3,8.6,5.3,3.1,23.7,24.8,24.4,23.2,3.9,68.5,null,10,21.5,43.1,25.3,null,null,null,null,18557.5,12534.1,10334.8,9373.6,19708.4,15379.4,12046.6,3943.1,5600.8,7812.8,9144.6,8919.3,6746.6,4364.8,2668.2,1599.8,12045.5,12586.2,12390.6,11803.1,1974.7,5092,10930,21904,12874,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,1175.5252713704201,510.4209621993123,519.5710489510487,19.905319148935796,89.09788683602783,447.27701968135005,36.660000000000636,345.4045915325005,721.7558948237872,152.9484453657078,559.7755135135161,576.5257401793724,872.3314990049753,903.7523228957534,295.7007220100521
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2006,03,2015,49190,342,120,208.4293,-0.268,4.96,40.6,39.4,35,24.5,21,19.6,217,40.5,32,25.4,7.2,10.7,14.8,17.6,17.6,14,9.4,5.5,3.1,23.2,26.6,27.6,20.4,2.3,77.5,43.2,7,15.5,46.8,30.8,12.4,44.3,35.8,7.5,17204.3,12043.9,10322.5,9619.2,19941.7,15748,12479.3,3560.5,5257.6,7296.1,8651.5,8676.4,6901.1,4604.9,2694.5,1547.5,11406.4,13063.6,13559.1,10042.9,1118,3435,7628,22999,15128,6111,21806,17599,3674,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,895.6622424722665,1059.7323002938822,1164.2108709888669,380.5320148331271,740.9548007838016,19.809484625378975,857.3151497183518,619.9515429122467,391.81619733682527,567.9440829178675,429.4834761321929,429.6194036686389,0,1.9191168644076753,0
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2007,03,2016,48734,341,120,210.1708,-0.244,5.01,41,40.4,35.1,23.9,20.9,20.1,218,41,32.4,25.8,7.5,10.6,14.8,17.3,17.5,13.9,9.5,5.6,3.4,21.6,27.1,25.3,22.5,3.4,79,46.6,6.9,14,44.9,34.1,13.4,40,36.7,9.9,17103.4,11643.5,10191.8,9795.3,19987.1,15799.1,12557.3,3631,5142,7216.8,8415.4,8529.6,6784.2,4618.8,2734.6,1661.4,10536.8,13222.1,12318.1,10989,1668,3387,6838,21882,16627,6544,19496,17873,4821,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,85.58489274303948,846.0936689154124,1186.332154742096,213.98037926675133,179.9464501160095,304.10558984569485,558.6987654320984,476.078764122664,405.857196339434,746.0103768045042,704.4234686346871,390.1588892307691,146.08381205240383,0,0
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2008,03,2017,59017,341,120,208.6958,-0.228,5.04,40.6,41,34.2,25.2,21,19.6,216,40.6,32,25.3,6.8,10.1,15,18.1,18.1,14,9.3,5.5,3.2,22.6,28.8,24.8,21.2,2.5,78.1,43.8,6,15.9,45.2,32.8,13,43.1,36.8,7,20168.7,14896.7,12406.8,11544.9,23951.7,18861.2,14908.6,4017.1,5935.5,8841.3,10667.7,10694.2,8249.6,5482.8,3243.4,1885.4,13349.7,17022.2,14615.1,12534,1496,3543,9394,26696,19384,7690,25464,21733,4130,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,939.321414840446,690.654320987654,180.89338763775794,120.93611111111098,293.40032549728653,105.08741839762455,1075.3986305448054,825.2382288894252,554.6598327526144,998.8137180544063,389.3991916051291,516.3213790532543,165.14989781659625,0,0
"Cook County","x016%","ISAT Mathematics","Math","ISAT",2009,03,2018,59112,341,120,209.6974,-0.197,5.11,41.9,42.2,33,25.2,21.5,20.4,216,41.8,33,26.2,6.6,9.6,14.5,17.9,18.4,14.2,9.7,5.7,3.4,21.6,27.6,25.6,22.2,2.9,79.1,44.5,5.6,15.4,45.2,33.8,12.5,43,36.5,7.9,19480.1,14894.6,12695,12042.3,24737.3,19488,15499.5,3890.4,5680.9,8574.9,10600.6,10877.2,8403.7,5750.4,3343.8,1990.2,12770.8,16327.2,15159,13115,1740,3298,9081,26734,19999,7387,25430,21601,4694,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,780.8895985401463,959.3089964451738,1139.3232253618191,72.60831889081425,263.7332234871183,47.83091421143828,505.22619047618997,726.0102249488755,181.30714449804793,639.9261257660534,250.16318584070794,490.1996300591714,154.0056364192162,0,0
