q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2000,03,2009,30977,200,120,150.1239,-0.617,4.27,19.5,26.9,54.2,26.2,12.8,6.7,161,19.6,13.3,9.4,11.4,17.4,22.4,20.8,14.7,7.2,3.7,1.6,0.8,38,32,19.6,9.4,1,37.8,null,26.5,35.7,31.6,6.2,null,null,null,null,16794.6,8119.1,3976.5,2086.8,6063.3,4132.6,2921.7,3522.9,5386.2,6949.8,6443.8,4541.7,2234.7,1149.9,494.7,253.3,11761.6,9927.6,6070.3,2916.9,300.6,8199,11057,9791,1930,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,19.40011914217619,487.2736098852604,156.77142451759374,528.0576131687249,343.829608675153,134.07039239001205,269.23622845555957,338.5534373194686,223.8468722974922,96.9719050894088,94.30496957403612,626.4231607294843,283.79108180952437,156.50477358870938,30.647981325301465
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2001,03,2010,30070,200,120,152.8632,-0.634,4.23,21.8,26.3,52,26.2,14.4,7.4,163,21.8,14.9,10.6,11.6,16.6,20.9,20.5,15.5,8.3,4,1.7,0.9,35.1,33.6,19,11.5,0.9,46.4,null,21,32.6,37.8,8.6,null,null,null,null,15637,7876.6,4320.6,2235.8,6556.4,4477,3179.8,3496.5,4987.7,6277.7,6168.8,4662.3,2487.9,1191.2,521.7,276.2,10563.3,10090.7,5699.7,3444.2,272,6312,9803,11364,2591,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,478.0345557122707,26.40083905415706,169.7985436893205,41.49614159292017,896.8056563314972,759.0929066729979,261.29520816967784,689.0219465977599,176.15506024096365,150.91131436802308,7.209780564263726,234.65673516129144,61.92977869822488,235.27259524509722,3.0439709032261444
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2002,03,2011,31011,200,120,153.0460,-0.675,4.15,21.3,25,53,25.7,14,7.3,163,21.3,14.6,10.4,11.9,16.7,21.6,20.2,15,8,3.8,1.8,1,33.8,34.2,21.2,9,1.8,45.9,null,19.9,34.2,36.3,9.6,null,null,null,null,16438.9,7967.7,4338,2266.4,6604.5,4533.3,3234.5,3681.5,5178.9,6690.2,6268.6,4658.5,2493.7,1166.3,557.8,315.5,10492.6,10599.7,6574.5,2780.2,564,6163,10621,11262,2965,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,345.12533593940907,228.45454545454578,185.43935926773443,388.4934148471612,308.57661310259545,1233.420122159784,46.85593495934875,190.33249586776915,212.60939313984207,138.3360149906305,35.501304347825744,889.4042566804981,285.72340097561045,27.179421428572027,140.96199230769201
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2003,03,2012,32664,200,120,153.6026,-0.636,4.23,21.3,26.2,52.1,26.7,13.9,7.4,164,21.3,14.7,10.5,11.4,16.4,21.4,21,15.3,8.1,4,1.7,0.8,30.9,38.6,18.7,10.9,0.9,49,null,18.4,32.6,38.9,10.1,null,null,null,null,17003.3,8712.4,4547.2,2401.1,6948.3,4789.7,3421.7,3713.1,5344.5,6978.1,6852.8,4985.9,2661.9,1300.1,560.5,267.3,10105.7,12609.3,6094.1,3553.5,301.4,6014,10647,12710,3293,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,1028.7195205479456,425.3166111208561,131.1040504842969,246.9052631578949,756.3964493597209,625.3098130841114,110.54157699080396,386.6819722650231,190.8057579972177,114.7475118483414,93.25431619786673,1259.3305883265314,284.03583805714413,212.90478999999956,25.357329337349576
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2004,03,2013,28996,200,120,155.4680,-0.596,4.31,24.2,27.6,49.8,26,15.4,8.8,166,24.2,17,12.3,11.4,15.8,19.9,20,16,9,4.7,2.2,1.1,32.3,31.6,22.7,11.5,2,56,null,18.1,25.9,43.2,12.8,null,null,null,null,14454.5,7533.9,4465,2542.7,7007.7,4926.7,3554.8,3296.8,4573.9,5774.3,5795.3,4629.1,2612.1,1363.5,630.2,320.8,9362.5,9154,6571.7,3321.7,586.1,5258,7499,12518,3721,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,86.52288568773216,971.6528735632183,297.6903563129357,430.2495578947367,731.323712121212,289.06435157790906,353.7330130404942,312.6627166014542,69.528936225148,143.9831683748168,36.77531428571487,370.5487113513517,682.5823012800007,186.8894694961248,150.14078173469426
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2005,03,2014,26464,200,120,155.8606,-0.617,4.27,24.8,26.9,50.2,25,16,8.8,165,24.8,17.3,12.3,12.4,15.8,19.2,19.2,16,9.4,4.6,2.2,1.1,34.6,28.3,22.2,13.5,1.3,55.7,null,15.8,28.5,42.2,13.5,null,null,null,null,13285.6,6615.1,4237.2,2326.2,6563.4,4585.1,3266.9,3276.9,4192.4,5089.4,5077.8,4242.5,2491.4,1225.2,587.2,281.3,9167.4,7501.1,5878.8,3560.5,356.2,4175,7544,11180,3565,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,701.4150271370416,238.35926273039658,164.158951048951,16.125319148935866,62.77205542725181,277.3885379568888,18.613636363636687,144.11138938580882,222.7263683920701,39.49767545158389,118.26243243243297,374.60529838565037,461.51922656716425,351.6901863706566,58.196418693467706
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2006,03,2015,25155,342,120,198.6686,-0.573,4.35,27.8,28.3,47.7,24.5,16.8,11,217,27.8,20.5,15.1,11.3,15.2,18.7,18.6,15.6,10.6,5.7,2.8,1.4,33.5,29.8,23.6,12.2,1,67.4,30.2,10.9,21.7,47.9,19.5,18.9,50.9,26.6,3.6,12007.8,6160.6,4227.9,2758.7,6986.6,5164.4,3795.9,2850.7,3826.2,4715,4681.7,3917.1,2668.9,1439.7,710.1,345.7,8428.1,7494.9,5929.3,3059.7,243,2752,5454,12050,4899,4757,12800,6701,897,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,514.1927496038036,470.5989847715737,396.72724296005237,299.3117428924597,517.1445460483346,12.132524902555232,436.46486806996745,265.405737704918,133.51890416939509,158.77446864340016,102.70257037943743,277.890946745562,0,0.7178812711867757,0
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2007,03,2016,24798,341,120,200.4500,-0.548,4.4,29,29.2,46.9,24.1,16.8,12.2,218,29,21.6,16.3,11.7,14.8,17.8,18.3,15.7,10.5,6.2,3.3,1.7,31.1,30.3,22.1,14.8,1.7,69.6,34.1,11,19.3,46.6,23,20.2,45.6,28.6,5.5,11631.5,5968.2,4165.9,3032.4,7198.3,5365.2,4048.3,2913,3661.9,4420.8,4544.3,3892.9,2613.3,1525.9,808.7,417.3,7722.2,7504.5,5485.2,3667,419,2735,4794,11554,5715,5021,11317,7099,1361,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,49.49372432679129,361.3382200311364,426.3918469217968,156.04682680151734,118.19464037122984,168.37691886510729,269.06172839506155,201.1651833064324,145.8733111480864,236.9904869097144,186.26105781057828,241.76512366863898,72.23629676855998,0,0
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2008,03,2017,31844,341,120,200.6427,-0.48,4.54,29.7,31.6,43.9,26.4,17.5,12.2,216,29.7,22,16.5,10,13.2,18.1,19.7,17,10.9,6,3.2,1.8,30.4,32.2,22.1,13.9,1.5,70.5,32.8,8.9,20.6,47.8,22.7,18.4,48.8,28.7,4,13992.7,8392.7,5585.8,3872.8,9458.6,7003.4,5265.3,3193.8,4205.9,5749.8,6283.7,5407.4,3483.2,1917.6,1027.2,575.4,9665.4,10251.8,7043.8,4418,465,2840,6550,15214,7240,5872,15542,9144,1286,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,578.2952710495963,354.61728395061715,72.83265452803082,90.2447619047618,198.30748643761234,65.54670623145303,571.7973206311405,373.43866440841936,206.24688501742204,316.63424567188656,110.44211426350532,344.5847739644969,87.81140908297068,0,0
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2009,03,2018,31885,341,120,202.3337,-0.427,4.65,32.1,33.5,41.5,26.4,18.4,13.7,216,32.1,23.9,18.3,9.6,12.4,16.9,19.6,17.5,11.4,6.9,3.7,1.9,28.5,30.7,23.4,15.8,1.6,72.3,34.6,8.2,19.5,47.6,24.6,17.5,47.9,29.8,4.8,13245.2,8406.7,5873,4360.1,10233.1,7614.7,5841.6,3073,3967.6,5398.4,6244.1,5587.2,3650.8,2194.3,1164.9,604.8,9085.3,9798.6,7450.1,5026,525,2624,6217,15193,7851,5571,15284,9496,1534,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,464.79744525547466,502.1032266885426,471.06633356305986,55.02946273830132,175.39694427801098,30.015164644713913,288.9523809523807,335.71370143149295,74.96353089823135,235.61670663469206,79.75823008849557,305.68004142011824,88.07994550218467,0,0
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2010,03,2019,31165,341,120,205.3906,-0.35,4.8,33.6,36.3,39.5,26.9,19.3,14.3,217,33.6,25.1,19.2,8.6,11.6,16.7,19.6,18.3,12.1,7.2,3.9,2,24.9,31.7,24.9,17,1.6,75.9,37,6.6,17.5,49.4,26.5,13.1,49.9,31.3,5.6,12317.6,8373.4,6002.8,4471.3,10474.1,7831.4,5986.8,2682,3619.1,5217.5,6099.6,5715.4,3759.7,2242.4,1201.5,627.8,7760.2,9875.7,7745.1,5295,489,2057,5454,15402,8252,4098,15541,9766,1760,196,217,238,166,179,195,208,224,238,252,269,184,208,231,270,163,184,224,173,214,255,411.4253112033193,267.0669745958432,519.2984361424848,114.9591578947368,198.82756410256428,590.3406640624994,104.77831325301261,234.36899068713896,119.68331885317076,69.26567629006573,138.78219461697822,311.7936422485206,87.14006803493574,0,0
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2011,03,2020,30568,341,120,207.8104,-0.318,4.86,36.2,37.5,37.6,26.1,20.2,16,218,36.2,27.4,21.1,7.9,10.9,16.5,19,18.3,12.8,7.9,4.4,2.4,22,30.5,25.1,20.2,2.2,78.8,41.5,5.8,15.4,47.7,31.1,12,46.5,35,6.5,11506.6,7984.4,6171.5,4905.5,11077,8389.7,6446.5,2407.7,3322,5042.7,5800,5605.8,3906.8,2405.5,1335,742.4,6710.8,9325.5,7686.8,6185,660,1780,4698,14592,9498,3675,14206,10695,1992,198,218,239,165,180,194,210,226,239,252,267,184,208,231,270,163,184,224,173,214,255,450.40387042490545,303.9851146174456,565.5098850574713,89.27984570877533,248.27357774968337,79.52993178717615,150.50308641975343,234.72717337307577,142.88978390804718,85.3797757009333,82.38707556117424,291.229712189349,81.76933965065619,0,0
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2012,03,2021,30759,341,120,208.5741,-0.301,4.9,36.5,38.2,37,26.6,20,16.5,218,36.4,27.7,21.5,7.6,10.7,16.2,19.3,18.5,12.7,8,4.4,2.6,20.8,30.9,26.4,19.2,2.6,79.9,42,5.7,14.4,50.1,29.8,12.2,45.8,35.1,6.9,11383.4,8171,6138.6,5066,11204.6,8526.8,6623.5,2340,3278.9,4974.2,5945.8,5693.3,3894.1,2456.9,1366,809.9,6405.2,9503.8,8129,5905.9,815,1743,4429,15408,9179,3738,14087,10804,2130,197,218,238,165,181,196,210,227,240,253,275,184,208,231,270,163,184,224,173,214,255,382.6273905652358,144.6117266851338,147.98833659013178,138.97058823529397,553.1084070796461,579.8678358551123,34.07186648501354,582.8027498677948,293.7291308617728,45.80182072829138,316.8511685116851,291.7854940828401,78.94970724890942,0.920947288136023,0
"CPS Only","x016299%","ISAT Mathematics","Math","ISAT",2013,03,2022,30382,341,120,208.6699,-0.292,4.92,37.7,38.5,35.7,26.6,19.9,17.8,217,37.7,29.1,22.9,6.9,10.5,15.8,19.4,18.3,12.8,8.3,5.1,2.9,22.5,29.2,24.7,21.2,2.4,78.3,42.3,5.7,16,47.3,31,11.5,46.1,34.3,8.1,10858.2,8078.6,6046.3,5398.9,11445.3,8836.2,6960.5,2109.8,3202.9,4805.3,5879.9,5547.8,3889.7,2524.7,1550.4,871.4,6834.9,8860,7508.1,6438,741,1737,4866,14369,9410,3509,14008,10408,2457,196,217,238,163,178,194,210,226,241,255,269,184,208,231,270,163,184,224,173,214,255,246.82585426101272,334.27025316455695,414.9293731179852,31.159933222036614,210.26599664991582,366.9905006418492,377.04842105263157,536.2355113636364,480.5173023770035,458.783288888888,130.3852589641442,290.1181484023668,78.14409799126749,0,0
