q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2000,03,2009,11002,200,128,169.2646,0.517,6.53,73.5,69.7,7.9,18.7,29.2,44.3,161,73.5,62.8,53.3,0.6,1.6,4.8,11,19.3,21.4,19.5,13.4,8.6,3.5,12.8,27.8,45.9,10,88.8,null,1.9,9.3,46.9,41.9,null,null,null,null,864.8,2053.1,3207.2,4876.9,8084.1,6912.5,5861.1,64.4,173.3,522.7,1209,2120.2,2351,2142.7,1474.8,944,384.6,1405.4,3061.4,5055.3,1095.4,206,1023,5159,4614,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,2.221207307386799,250.11385701676966,262.88308740068123,14.632921810699603,15.332060348892021,12.665636147443534,82.70361608651581,249.46042749855582,365.499971173249,240.84525447042708,271.020588235293,37.42586954407301,78.0538269523811,131.63552189516105,103.3672824698804
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2001,03,2010,11049,200,120,171.3791,0.491,6.48,72.4,68.8,8.8,18.8,28.7,43.7,163,72.4,62,52.6,0.7,1.8,5.1,11.2,19.1,21.2,18.7,13.2,8.8,3.8,14.2,24.7,48.5,8.7,90.6,null,1.5,7.9,43.2,47.4,null,null,null,null,970,2077,3174.3,4827.7,8002,6853.7,5813.1,72.7,200.9,565.6,1241.6,2114.5,2345.2,2070.1,1463.6,974.8,419,1573.3,2732.2,5362.3,962.2,170,874,4773,5232,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,74.03902209685,11.010488176964119,214.6878138600604,1.3090265486725605,46.407281947261616,112.78285680360939,86.18350353495676,458.6973298880271,239.51518072289127,361.3928844076342,21.75924764890404,20.963570000000097,17.644144497041427,231.44079401960704,9.186759032259085
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2002,03,2011,10981,200,120,172.0354,0.502,6.5,73.1,69.2,8.2,18.7,29.4,43.7,163,73,62.2,52.7,0.7,1.8,4.5,11.2,19.5,21.4,19.1,13.1,8.6,3.4,13.1,29.9,38.9,14.7,91.3,null,1.4,7.3,40.6,50.7,null,null,null,null,905.3,2057.6,3222.9,4795.1,8018.1,6834,5789.8,79,197.1,498.7,1233,2139.2,2353,2095.4,1442.2,943.4,371.9,1438.8,3286.8,4270.7,1612.8,158,798,4458,5567,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,50.713413144392916,105.07317073170746,248.1418764302058,8.04206113537117,14.971372064276869,181.2412411434154,14.210406504064785,131.00191735537229,339.00316622691355,300.57301686445896,91.35999999999912,49.104444813278015,63.313708170731864,25.486277142857702,392.8140852307684
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2003,03,2012,11109,200,120,172.3872,0.462,6.42,72.6,67.8,8.8,18.5,29.7,42.9,164,72.7,62.4,52.6,0.8,1.9,5.1,10.7,19.2,22.1,19.3,12.9,8.1,3.2,14.8,26,46.9,9,91.7,null,1.4,6.9,40.3,51.4,null,null,null,null,979.2,2058.1,3300.6,4771.1,8071.8,6927.8,5839.8,85.9,206.3,568.4,1190,2130.5,2458.1,2143.3,1428.2,898.2,356.6,1649.6,2884.6,5214.1,1004.2,159,765,4475,5710,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,165.8256849315069,172.75916505876168,142.13149398297608,8.1218836565097,44.83055878928989,63.38757009345787,28.358833887693162,272.8412942989214,213.72536856745407,235.44890402843637,285.2484966052394,84.44254106122453,72.86783280000033,156.27538294117613,79.21360403614514
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2004,03,2013,11017,200,120,173.2493,0.554,6.61,72.3,71,9.5,18.1,27.8,44.5,166,72.3,62.4,53.6,0.8,2.3,5.3,10.7,18.5,20.8,19,13.5,9.1,4.1,13,26.7,41.1,15.2,92.8,null,1.5,5.6,38,54.9,null,null,null,null,1051,1995.4,3064.8,4905.7,7970.5,6870,5902.9,88.9,249.3,589.4,1176.9,2042.5,2294.4,2092.9,1483.3,999.4,451.5,1432.8,2938.3,4523.4,1671,169,619,4183,6046,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,12.971305762081757,469.53639846743295,430.7416731216112,22.11132631578947,55.8214497245179,45.43492357001969,97.49951956074126,199.0329793180553,100.60457010069645,303.75396486090744,92.42217142857291,35.47806810810814,153.71826624000016,148.3996474031014,382.00376112245
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2005,03,2014,10794,200,120,173.0749,0.476,6.45,69.5,68.3,11.4,19.1,27.3,42.2,165,69.5,59.9,51,1,2.8,6.2,11.8,18.2,20.3,18.1,12.4,9.1,5.6,13.9,24.6,44.9,11,91.3,null,1.5,7.2,37.9,53.4,null,null,null,null,1228.8,2063.9,2943.4,4557.8,7501.2,6460.9,5502.5,110.4,304.5,673.7,1278.2,1966.3,2189.9,1952.7,1341.3,977,604.8,1498.3,2658.5,4847.4,1185,160,777,4089,5768,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,140.16112618724551,117.22586691658849,192.84692307692302,0.6031914893616908,6.085046189376451,50.390651358950386,5.176363636363726,95.85390578413889,306.91846640969106,71.26389102753859,325.0026846846862,47.166744125560555,122.8999057711443,264.39120393822407,162.00624663316685
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2006,03,2015,10447,342,120,228.4671,0.46,6.42,68.6,67.7,12.3,19,27.9,40.7,217,68.7,58.3,49.2,1.2,3.3,6.5,12,18.7,20.5,17.5,11.8,8.5,6.4,16,32,39.2,6.3,93.9,71.4,1.1,5,37.3,56.6,2.6,25.9,53.5,18,1285.3,1989,2916.4,4256.2,7172.6,6094.8,5136.8,126.2,342.8,675.9,1249.4,1958,2144.6,1823.9,1234.2,892.1,673.3,1674.7,3339.5,4096.5,663,120,520,3894,5913,274,2709,5585,1879,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,96.68581616481778,255.64493721613684,461.20661427635883,18.800988875154502,59.04781188765514,2.1964053702901714,133.83931218499853,181.8054484088717,155.2194935603577,247.27171346103304,229.05785393716954,41.6836420118343,0,0.549136271186697,0
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2007,03,2016,10302,341,128,230.0577,0.452,6.4,67.1,67.4,12.5,20.5,27.9,39.2,218,67,57,47.9,1.2,3.2,6.7,13.2,18.7,20.6,16.8,11.5,8.1,5.7,17.3,28.7,40.1,8.2,94.5,72.5,1.1,4.4,35.2,59.3,2.8,24.7,51.3,21.3,1283.2,2116.3,2869.3,4033.2,6902.5,5875.4,4938,126.9,328.2,689.6,1356.1,1925.8,2119.3,1731.1,1188.3,836.7,590.4,1783.6,2956.9,4131,840,113,457,3628,6104,288,2540,5281,2193,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,10.817777270652641,199.5245199792423,421.2338810316138,12.147357774968416,15.926937354988418,36.31659034345451,110.26255144032915,131.43278764122624,144.10871464226278,294.9639662344026,354.6886100861012,25.565967100591706,27.927787598253673,0,0
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2008,03,2017,11191,341,120,227.9637,0.402,6.3,66.5,65.6,13.6,19.9,26.4,40.1,216,66.5,57.2,48.8,1.2,3.4,7.7,12.6,18,19.7,17.2,12,8.3,7.2,19,27.2,40,6.6,93.2,69.6,1,5.8,35,58.2,3.2,27.3,52.4,17.1,1522.9,2225.2,2957.7,4485.2,7442.9,6395.7,5461.8,132.9,382.4,861.2,1409.5,2009.3,2206.5,1924.4,1337.9,926.7,801.6,2131.6,3038.7,4481,738,113,650,3916,6512,353,3052,5868,1918,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,102.100153787005,135.90123456790118,57.17573071394358,5.0813492063492,23.688607594936627,11.504510385756506,173.98725811253357,183.65835954512428,176.11616724738715,346.6673042044503,188.73675864749265,48.35302473372779,26.719373711790777,0,0
"DuPage County","x022%","ISAT Mathematics","Math","ISAT",2009,03,2018,11592,341,120,227.2375,0.375,6.25,65.3,64.6,14.2,20.5,26.6,38.7,216,65.4,55.7,47.2,1.5,3.7,7.7,12.8,18.5,19.7,16.4,11.4,8.3,8,18.3,28,38.3,7.4,92.4,68,1.2,6.4,35.6,56.7,3.7,28.3,50.4,17.6,1643.1,2371.6,3086,4491.3,7577.3,6456.7,5465.7,178.4,428.9,891.6,1488.4,2148.1,2279.3,1896.9,1323.4,957.1,928.6,2121.7,3249.7,4437,855,141,745,4132,6574,427,3286,5843,2036,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,94.90237226277377,210.2697566311184,373.3137491385251,4.58578856152511,20.728729778310388,5.109943674176755,90.73809523809514,166.68302658486712,59.40759246496689,244.46616040500913,102.0796460176991,53.35506177514791,27.659251179039696,0,0
