q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2000,03,2009,6578,200,120,163.1082,0.145,5.79,57.2,55.8,17.2,25.6,29.4,27.8,161,57.2,45.1,36.1,1.7,4.4,9.1,16.7,23,19.5,14.4,8,3.2,9.1,20.4,31.9,34.6,4,77.8,null,5.5,16.7,51.9,25.9,null,null,null,null,1129.2,1684.4,1934.4,1830,3764.4,2964.5,2375.3,110.3,289.1,600.9,1100.1,1513.1,1282.4,944.7,526.5,211,600.8,1342.9,2095.6,2277.9,260.9,359,1100,3415,1704,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,2.7646942017473988,179.36451897616948,125.96481271282642,26.720987654321014,19.57284299858556,14.673602853745557,70.56775937816838,138.49913344887352,152.14592101470174,106.4789546079783,67.96754563894496,47.24249106382986,70.38379771428585,82.75457891129017,37.89204963855454
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2001,03,2010,6891,200,120,165.3143,0.101,5.7,56.9,54,18.4,24.7,29.2,27.7,163,56.9,45,36.3,1.7,4.9,10,16.1,22.3,19.6,14.5,7.3,3.7,9.3,22.4,28.2,36.5,3.6,80.6,null,4.2,15.2,49.4,31.2,null,null,null,null,1265,1704,2010,1912,3922,3101.6,2503.5,119.4,336.9,687.3,1109.2,1536.6,1347.9,999.8,500.2,253.8,637.7,1542.3,1943.1,2518,249.9,292,1047,3405,2147,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,74.03902209685,8.029748283752838,106.04276866421166,1.6362831858407008,74.73380469429144,103.43298266445007,70.26425765907302,299.6171920757964,119.75759036144564,140.9829384227584,6.820062695925147,20.287325806451708,14.956625798816575,111.88859578431334,2.879431935484191
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2002,03,2011,7069,200,127,166.3456,0.158,5.82,57.3,56.3,16.8,25.9,29.1,28.2,163,57.3,45.9,36.8,1.4,3.8,9.8,16.4,22.8,19.9,14.8,7.5,3.7,7,22,33.2,30.7,7,82.5,null,3,14.6,47.7,34.8,null,null,null,null,1189.8,1828.3,2055.8,1995.1,4050.9,3242.8,2604,97.8,271.7,691.2,1157,1608.5,1408.2,1043,528.3,263.3,497.6,1556.6,2349.8,2173.2,491.8,209,1031,3372,2457,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,50.1651600293184,88.8876570583889,126.07208237986262,19.177222707423564,22.457058096415302,179.2818763742974,11.329918699186788,77.84171900826469,176.61646437994756,124.57484072454685,33.266956521738805,80.40852838174276,56.81999451219526,16.04031428571464,127.80553969230742
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2003,03,2012,7132,200,120,167.0278,0.151,5.8,57.9,56,16,26.1,29.6,28.3,164,57.9,46.1,36.6,1.4,4.1,8.7,17.1,22.6,20.3,14,7.8,4,6.5,24.2,29.4,35.4,4.5,84.7,null,2.9,12.4,49.3,35.4,null,null,null,null,1141.2,1863,2112.6,2015.2,4127.8,3288.2,2608.9,96.6,294,621.1,1220.4,1611.6,1444.6,1001.7,557.5,284.4,466.1,1725.5,2093.4,2527.3,319.7,204,884,3517,2527,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,159.82294520547953,130.80336783020527,77.19210449075425,11.370637119113582,55.32281722933646,76.23640186915878,25.850909802386962,171.23143297380585,126.6308484005559,97.96839454976318,91.42580019398699,86.87838359183678,66.42373874285745,98.01243529411744,26.703736204819467
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2004,03,2013,6947,200,128,167.9027,0.181,5.86,57.4,57.2,17.3,25.3,27.7,29.7,166,57.5,47,38,1.5,4.3,9.6,16.5,21.1,19.7,14.9,8.4,4,7.7,21.2,30.7,32.7,7.8,86.5,null,3.3,10.2,47.4,39.1,null,null,null,null,1199.5,1755,1926.4,2066.2,3992.5,3265.7,2638,106,296.9,666.3,1145.4,1466.6,1368.3,1034.2,583.8,279.5,532.6,1472.4,2130.7,2269.1,542.2,232,706,3290,2719,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,14.539265799256475,332.50842911877396,220.1568551510457,23.953936842105257,52.05820592286501,42.73338757396447,71.34111187371312,131.72364449413115,51.420113607022635,133.24758125915065,30.484800000000487,39.42007567567571,161.03818368000017,92.3755730232562,167.24542775510247
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2005,03,2014,7058,200,125,167.8905,0.181,5.86,55.8,57.2,18.6,25.6,26.9,28.9,165,55.9,45.4,37.1,1.9,4.5,10.4,16.5,21.3,19,14.9,7.9,3.5,9.6,20.1,28.7,37.1,4.6,85.2,null,2.7,12.1,45.8,39.4,null,null,null,null,1311.2,1803.7,1900.2,2042.9,3943.2,3203.2,2618.9,134.7,320.4,732.1,1166.8,1500.8,1340.9,1055,559.6,247.7,675.9,1418.5,2023,2619.1,321.6,192,854,3231,2781,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,129.80139077340564,78.15057794439232,125.90832167832163,1.2868085106382736,5.892886836027721,40.79243205248365,4.96363636363645,55.19862850327998,178.3341712555063,36.30424637251966,93.73392792792836,56.13232358744397,124.61878557213933,159.63242501930512,60.55573296482451
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2006,03,2015,7094,342,124,219.7650,0.134,5.77,57.1,55.3,18.4,24.5,28.5,28.6,217,57.1,45.4,36.1,2.2,4.7,9.7,16.3,21.8,18.9,14.6,8,4,10,22.1,35.2,30,2.7,90.5,59.9,2.2,7.3,47,43.5,4.1,35.9,49.6,10.3,1305.6,1738.3,2022.8,2027.3,4050.1,3218.4,2564,158,332.8,684.8,1153.7,1546.3,1337.3,1035.7,564.7,280.7,707.5,1570.5,2497.6,2130.4,188,153,519,3333,3089,294,2550,3516,734,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,91.41204437400953,183.10900347314993,220.30451866404715,15.0407911001236,54.28589157413457,2.4474231268947624,148.7103468722206,129.42936354869815,74.14368041912232,111.40241406454963,92.7435332517344,44.46255147928993,0,0.3575105932205058,0
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2007,03,2016,7405,341,134,222.5552,0.198,5.9,57,57.8,18.5,24.4,27.4,29.6,218,57,46.5,37.9,1.6,5.2,9.9,15.9,20.9,19.2,14.4,8.4,4.5,8.8,22.4,30.6,33.6,4.6,91.5,63.4,1.4,7.1,42.8,48.7,4.1,32.5,49.2,14.2,1373.4,1808.8,2028.3,2194.5,4222.8,3441.8,2804,118.5,385,732,1176.5,1551.1,1418.7,1068,618.4,336.7,654.3,1661.6,2263.1,2488,338,102,527,3171,3605,305,2404,3644,1052,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,10.62631218621631,161.8137000518941,260.4772774542428,14.483388116308497,18.44171693735501,37.41709308113495,83.8839506172839,93.8284067327643,89.11212354409311,170.0980107658434,139.69579335793372,31.67956792899407,21.080108908297245,0,0
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2008,03,2017,9054,341,120,217.4336,0.045,5.59,52.6,51.8,23.3,24.1,25.7,26.9,216,52.6,42,33.9,2.9,6.6,11.7,16.7,20.1,17.2,12.2,8,4.7,13.9,25.6,28.5,28.4,3.7,86.7,56,2.4,10.9,43.6,43,6.8,37.2,45.8,10.2,2108,2182.5,2330.8,2432.7,4763.4,3802.8,3071.3,264.6,596.9,1059,1514.5,1816.2,1556.9,1103.1,720.7,422.1,1256.1,2314.3,2578.6,2569,336,220,985,3952,3897,620,3364,4146,924,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,124.97058823529412,119.4444444444444,33.69034499281272,11.38222222222221,31.472007233272947,12.471275964391506,159.99833283715398,148.76327123155068,112.88409756097586,218.81228359439314,86.07225806451588,63.914917751479265,24.571082358078954,0,0
"Kane County","x045%","ISAT Mathematics","Math","ISAT",2009,03,2018,9140,341,123,216.0189,0.001,5.5,50.7,50,24.7,24.6,25.4,25.3,216,50.7,40.6,32.3,3.5,7.3,12,16.5,20.1,17.3,12.2,6.9,4.2,15.1,24.7,29.1,27.4,3.7,85.4,53.4,2.7,11.9,43.7,41.7,8,38.6,43.8,9.6,2258.2,2245.7,2321.2,2314.9,4636.2,3713,2955.1,315.5,665.2,1101.2,1506.4,1838.8,1583,1114.2,633.5,382.4,1384.4,2259.3,2655.3,2503,338,246,1086,3993,3815,734,3525,3999,882,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,109.84762773722632,151.1547716707684,219.94331495520328,8.516464471403776,29.339125224685475,6.168760831889055,79.7261904761904,144.96728016359924,35.00086147484505,133.84798827604573,44.37061946902654,65.58226343195264,24.302545938864977,0,0
