q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2000,03,2009,8646,200,123,166.3317,0.333,6.17,65.7,63,12.9,21.4,29.3,36.4,161,65.7,54.7,45.5,1.6,2.9,6.9,12.9,20.9,20.9,16.5,10.7,6.6,6.7,15.9,29.3,40.5,7.7,82.7,null,4.2,13.1,48.5,34.2,null,null,null,null,1114.3,1852.5,2530.6,3148.6,5679.2,4729.3,3935.1,141.7,253,592.7,1118.2,1811,1802.7,1429.7,923.8,573.1,581.9,1373.3,2529.2,3498.4,663.2,359,1134,4194,2959,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,2.6938046068307986,221.21624007060902,189.6318104426789,29.265843621399206,17.28934464875058,15.600356718192646,72.36566407570133,173.32640092432126,225.59567598731638,169.8592847317749,152.07738336713933,53.071110091185496,61.81141209523821,119.62967624999978,63.24628873494029
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2001,03,2010,8938,200,120,168.9088,0.315,6.13,65.2,62.4,13.5,21.3,27.1,38.1,163,65.2,55,46.4,1.4,3.2,7.5,13.2,19.7,19.4,16.9,11.5,7.2,6.6,17.8,25.2,43.2,7.1,85.7,null,3.2,11.1,44.2,41.5,null,null,null,null,1204.4,1901.8,2422.5,3409.4,5831.9,4918.8,4149.3,126.5,285.2,670.9,1176.7,1760,1730.5,1514.3,1027.9,646.1,592.6,1590.8,2254.9,3862.3,637.4,284,996,3952,3706,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,75.64856605547718,9.854691075514847,146.37805490458663,1.5053805309734445,66.29611706751659,103.43298266445007,75.7536527886881,373.7895262704561,171.2812048192769,278.9873640619374,15.134043887148183,25.359157258064634,13.55444213017752,148.6738875490191,6.389596580645871
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2002,03,2011,9213,200,120,169.6078,0.35,6.2,65.9,63.7,13.7,20.4,27.9,38,163,65.9,56.1,46.7,1.1,3.1,8.3,12,19.3,21,16.9,11.2,7,5.8,16.7,30,35.7,11.9,85.8,null,2.5,11.7,41,44.8,null,null,null,null,1263.2,1880,2572.6,3497.1,6069.8,5171.3,4306.6,104.1,286.9,762.2,1108.2,1780.4,1937.3,1556.3,1034,643.6,532.9,1534.5,2762.4,3285.4,1097.9,230,1076,3778,4129,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,42.763742975812406,86.76496674057663,216.1235697940502,17.939982532751074,22.041186650185388,152.83045199120434,12.674146341463187,98.25143801652922,241.90596306068645,221.62733291692638,56.60347826086902,95.13986182572616,74.67770707317092,22.278214285714775,282.8637312307686
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2003,03,2012,9404,200,120,170.0031,0.313,6.13,65.3,62.3,13.2,21.5,27.9,37.4,164,65.3,55.3,46,1.4,3.5,6.9,13.8,19.2,20.5,16.4,11.2,7.3,5.6,19.4,25.8,41,8.1,87.3,null,2.7,9.9,42.3,45,null,null,null,null,1241.7,2022.1,2623.8,3516.4,6140.2,5197.6,4330.2,128.2,330,651.3,1294.1,1802.8,1923.5,1538.4,1049.7,686.1,529,1828.4,2424.2,3859.5,762.9,258,932,3980,4234,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,155.32089041095898,145.1999649184354,118.44291165248006,13.807202216066491,45.78440046565776,80.51934579439244,29.419878693015015,228.62218798151002,166.16717663421363,173.7450533175358,223.07895247332823,107.98901885714291,75.59418028571463,127.41616588235267,55.875885000000395
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2004,03,2013,9278,200,120,170.3275,0.345,6.19,64.1,63.5,14.6,21.3,27.4,36.7,166,64.1,54.3,45.1,1.8,3.7,7.6,13.5,19.2,20,16.4,10.8,7,7.1,16.7,28.7,35.5,12,88.5,null,3.1,8.4,42.2,46.3,null,null,null,null,1352.7,1975.5,2545.9,3403.9,5949.8,5038.2,4183.3,165.6,343.2,705.1,1248.8,1777.2,1859.6,1525.6,1000.3,652.7,657.3,1550.6,2660.1,3297.2,1112.9,292,777,3917,4292,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,15.251974907063165,395.75210727969346,293.8615414407436,30.40307368421052,70.24721763085398,47.154082840236654,112.36225120109816,201.2042481833432,68.63467337980848,209.02819619326476,60.727657142858114,40.73407819819824,178.1179910400002,118.03545441860514,269.87330387755173
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2005,03,2014,9038,200,120,170.8640,0.354,6.21,64.2,63.8,14.6,21.2,27.8,36.4,165,64.2,54,45.1,1.7,3.8,7.8,13.5,19.3,20.2,16.2,10.6,7,7.7,15.5,27,41.4,8.4,88.2,null,2.4,9.4,40.7,47.5,null,null,null,null,1318.1,1918.2,2511.4,3290.3,5801.6,4881.7,4076.6,151.1,345.1,701.5,1217,1741.6,1827.6,1468.6,956.1,629.5,695.8,1398.5,2442.2,3739.6,762,220,847,3679,4292,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,107.86312754409764,99.64198687910022,157.25258741258736,0.9248936170212592,6.853683602771371,51.350473289597055,6.310909090909201,69.74197972570106,257.1685903083696,44.53993189221162,180.45971171171254,54.18328457399105,148.6831027860697,209.51755783783796,106.95558030150822
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2006,03,2015,8871,342,124,224.6357,0.313,6.13,62.7,62.3,15.4,21.9,27.8,34.9,217,62.7,52.5,43.4,1.8,3.7,8.3,13.8,19.9,19.8,15.3,10.4,6.9,8.1,18.9,33.6,34.2,5.2,92.2,65.7,1.7,6.1,41.3,50.9,3.3,31,50.5,15.2,1370,1939.4,2462.2,3099.4,5561.6,4657,3846.2,159.4,329.5,739.7,1224.3,1761,1760.3,1356.7,926.2,613.9,722.2,1674.8,2979.5,3037.5,457,153,539,3668,4511,293,2749,4481,1348,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,116.02297939778133,217.60780122896077,305.3814669286182,19.55302843016068,59.04781188765514,2.3637505413598987,162.09427809072045,146.04869816779168,102.776402532198,192.09107845709724,156.85483476132262,37.79316875739644,0,0.5119551694917643,0
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2007,03,2016,8660,341,120,226.1187,0.321,6.14,62.4,62.6,16.5,21.2,27.2,35.2,218,62.3,51.9,43.3,2,4.1,8.7,13.7,19.6,19.2,15.8,10.7,6.2,8.1,19.3,29,37.4,6.2,92.2,68.2,1.8,5.9,38.2,54.1,4.2,27.6,49.8,18.4,1427.5,1833.5,2353.5,3045.5,5399,4494.1,3753,175.5,357.9,752.2,1185.9,1694.5,1660.1,1372.2,924,537.8,700.4,1671,2512.6,3236,540,159,513,3306,4682,368,2387,4310,1595,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,11.487905066179795,157.0141411520498,321.51320715474196,14.483388116308497,12.573897911832962,33.38191637630667,86.52181069958843,108.06695872723047,109.99318219633935,233.8051309028634,238.77082410824133,35.57004118343194,22.55705921397412,0,0
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2008,03,2017,10413,341,124,222.3599,0.199,5.9,59.7,57.9,17.4,22.9,27,32.7,216,59.7,48.9,40.2,2.6,4.9,8.5,14.7,20.5,18.3,14.9,9.7,6,10.4,21.8,29.8,33.2,4.8,90.1,63.3,2.2,7.7,40,50.1,5.6,31.1,50.2,13.2,1813,2383.6,2811.9,3404.5,6216.3,5095.6,4186,269,508,884.4,1525.6,2130.4,1905,1554.6,1008,628,1079.1,2267,3106.9,3457,503,230,806,4160,5217,580,3237,5226,1370,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,133.95540176855056,143.3333333333333,43.47592237661725,9.959444444444433,20.9813381555153,10.537744807121506,187.97618338791315,191.61688845874633,125.61538675958215,266.0070898598505,124.9603264671586,53.91084366863903,28.867665065502596,0,0
"Lake County","x049%","ISAT Mathematics","Math","ISAT",2009,03,2018,10336,341,123,222.0708,0.19,5.88,57.8,57.5,19.8,22.3,24.8,33,216,57.9,48.5,40.5,2.8,5.4,9.8,14.7,18.8,17.7,14.2,9.6,6.9,11.6,21.7,27.5,32.9,6.2,88.9,60.6,2.3,8.8,39.4,49.5,5.9,33.5,45.8,14.7,2045.4,2308.8,2568.1,3413.8,5981.9,5012.1,4185.4,292.8,558.2,1009.8,1523,1940.1,1833.6,1469.9,992.2,716.4,1199.6,2244.8,2845.6,3402,644,242,907,4070,5117,610,3467,4739,1520,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,104.61678832116793,169.86204539239816,279.7746381805651,6.223570190641221,36.99281006590777,6.214796360485242,87.21428571428562,149.07566462167694,44.522168619343134,188.6039834798826,72.40849557522122,63.35913585798814,26.585105502183787,0,0
