q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2000,03,2009,2715,200,130,163.8221,0.185,5.87,59.7,57.3,13.2,27.2,33.4,26.3,161,59.7,47.2,36,0.6,3,8,16.7,24.6,23.4,13.5,7.1,3.2,6.1,19.7,34.9,35.4,3.9,81.4,null,3.2,15.4,57.2,24.2,null,null,null,null,358.1,737.2,906.9,712.8,1619.7,1280.8,977.9,16.2,81.3,215.9,452.8,668.1,634.3,366.9,193.1,86.4,166.7,534.6,948.1,961.1,104.5,86,419,1554,656,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,0.9215647339157995,79.71756398940866,56.821083995459745,3.8172839506172878,5.545638849599242,6.641736028537463,27.86752281176076,81.8035817446563,66.454540213318,40.563411279229825,31.43498985801204,16.25877939209729,30.680116952381013,41.59167955645154,12.537810542168781
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2001,03,2010,3330,200,122,166.1949,0.15,5.8,59.5,56,14.2,26.3,30.8,28.7,163,59.5,47.2,37.1,1.4,3,7.8,16.2,24.3,20.9,15.9,7.6,2.8,6.4,21,31.3,38.5,2.8,84.7,null,2.7,12.6,52.4,32.3,null,null,null,null,471.4,875.8,1026.2,956.6,1982.8,1570.6,1236.9,46.5,101.3,261,539.8,810.7,694.6,528.5,252.9,94.6,214.2,697.8,1043.2,1282.2,92.5,89,421,1746,1074,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,38.62905500705217,4.80568268497329,56.59951456310684,0.4581592920353962,30.134598667052998,53.17740916646868,37.32788688138255,178.5991731266148,55.00493975903608,69.49863161685273,3.572413793103648,6.762441935483903,5.959280591715979,56.710658137254704,1.5082738709679093
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2002,03,2011,3278,200,128,167.0891,0.199,5.9,60.8,57.9,12.7,26.5,32.8,28,163,60.8,48.2,37.6,1,3,7,17,23.8,22.9,15.4,6.8,3.1,5.2,19.7,36.5,32.5,6,86.6,null,2.3,11.1,51.3,35.3,null,null,null,null,417.5,868,1076.1,916.4,1992.4,1580.4,1232.6,32.4,98.2,229,558.4,779.5,749.9,504.9,224.3,101.4,170.6,647.2,1195.6,1066.4,198.2,75,365,1682,1156,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,22.47837771805524,33.432372505543285,69.37299771167044,5.567580786026196,3.326971569839304,80.33395553383818,6.913170731707193,39.39550413223152,84.54153034300806,58.66605871330404,12.413043478260748,26.393639087136933,35.174282317073256,8.554834285714474,59.20403676923064
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2003,03,2012,3439,200,120,167.8438,0.192,5.88,60.6,57.6,13.2,26.2,31.4,29.2,164,60.6,48.5,38.3,0.9,2.7,7.9,16.6,23.4,21.8,15.2,7.9,3.5,4.4,23.2,30.9,37.5,4,87.5,null,1.9,10.6,50.1,37.4,null,null,null,null,453.2,900.7,1079.2,1005.9,2085,1666.5,1318.6,31.2,93.7,272.6,569.7,805.4,749.2,523.8,272.6,120.9,151.5,797.1,1062.2,1290.1,138.1,65,365,1724,1285,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,69.78184931506853,67.04700929661465,42.88450249486347,2.8426592797783954,18.12299185098953,32.550373831775666,11.864410095871628,103.49152542372882,61.309958275382265,52.50239928909961,32.91328806983532,36.53763795918369,30.485521885714427,52.2732988235293,14.137272108433836
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2004,03,2013,3598,200,125,168.6242,0.227,5.95,61,59,14.4,24.5,31.4,29.6,166,61.1,49.5,39,1.3,3.1,8.3,15.6,22.2,22.4,15.1,8.4,3.6,6.1,19.3,32.7,34.6,7.3,89.2,null,2.4,8.4,48.8,40.4,null,null,null,null,518.4,882.9,1130,1066.6,2196.6,1779.4,1402.7,46.6,110.8,299.5,562.1,799.6,805.2,544.1,302.2,127.9,218,695.1,1176.5,1246.7,261.8,88,301,1757,1452,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,6.556923791821547,191.64750957854406,120.60766847405112,7.370442105263156,22.579462809917352,22.10347633136093,38.04859299931366,85.40324203465646,28.169279628195007,70.09706881405556,16.93600000000027,22.995044144144167,79.90909872000007,56.451739069767676,80.77193954081653
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2005,03,2014,3508,200,128,168.4544,0.216,5.93,58.3,58.6,15.9,25.8,30.1,28.2,165,58.3,46.1,36.8,1.1,3.8,9.5,16.8,22.8,20.2,14.2,8.3,3.4,7.9,19.3,31.3,36.9,4.5,87.4,null,1.6,11,48.2,39.2,null,null,null,null,557.7,905.3,1055.2,989.8,2045,1616,1292.1,37.7,134,333,588.2,799.1,709.5,498.4,289.8,118.3,278.2,677.4,1099.4,1293.6,159.4,57,385,1692,1374,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,57.28324287652643,42.982817869415776,55.782167832167815,0.3217021276595684,3.3307621247113204,16.316972820993456,3.1200000000000543,37.01943947525364,89.5497769823787,15.126769321883192,54.313117117117365,23.77827596412557,52.42583393034827,78.98479362934367,33.423618844221316
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2006,03,2015,3703,342,133,219.5582,0.127,5.75,56.1,55,16.8,27,29.6,26.5,217,56.2,44.4,35.2,1.4,3.4,10.3,17.3,23.2,20.6,14.3,6.5,3,7.7,24,37.5,28.8,2.1,92.9,59.8,1.4,5.7,50.3,42.7,3,37.2,51.8,8,622,1001.2,1097.8,982,2079.8,1643,1304.3,53.2,124.8,380.6,641.1,860.4,763.1,528.2,241.6,110,285.1,886.9,1387.8,1066.2,77,51,211,1861,1580,111,1376,1918,298,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,50.97979397781301,108.80390061448038,154.03405370006547,6.76835599505562,20.952449379490535,1.4015158077089667,80.30358731099912,62.952025072324005,51.840296878410726,53.618918918918745,32.98931048551626,28.900658461538452,0,0.23452694915265182,0
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2007,03,2016,3609,341,131,221.1904,0.15,5.8,54.5,56,16.5,29.1,28.5,26,218,54.5,42.3,33.9,1,3.6,10.1,18.2,24.8,18.5,13.8,6.7,3.3,6.5,24.5,34.8,30.9,3.3,93.8,62.3,1,5.2,49.4,44.4,2.7,35.1,51.1,11.1,595.1,1048.5,1026.9,938.5,1965.4,1526.1,1222.3,37.7,128.5,364.8,657.7,894.2,666.2,499.5,243,117.3,234.7,884.7,1257.6,1114,118,35,189,1784,1601,96,1266,1846,401,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,4.882359653126413,86.39206019719771,119.49287645590677,2.3360303413400803,7.8237587006960645,17.974878048780514,63.3086419753086,43.08074706017972,40.87981905158067,71.3519745534624,71.33402214022148,13.338765443786977,12.621211703056948,0,0
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2008,03,2017,3955,341,140,220.0293,0.126,5.75,57.1,55,17.4,25.5,29.1,28,216,57.1,45.8,36.1,1.4,4.5,9.7,15.9,22.7,20.3,14.2,7.6,3.7,9.1,24.3,32.6,31.2,2.7,91.3,60.9,1.2,7.6,44.1,47.1,4.2,34.9,51.8,9.2,687.5,1009,1150.1,1108.4,2258.4,1811.3,1429.2,56.4,176.5,382.6,629.6,898.7,802.7,560.7,302.4,145.4,359.2,962.8,1291,1235,107,46,299,1746,1864,166,1379,2048,362,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,42.47366397539408,50.43209876543208,16.355893627216133,2.642301587301584,8.121808318263987,4.543798219584502,90.9280142899673,83.25845632712301,61.53456445993044,85.8087386644679,38.369560823940816,17.78502059171597,13.963893799126836,0,0
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2009,03,2018,3984,341,131,219.1240,0.098,5.7,56.3,53.9,18.2,25.5,29.5,26.8,216,56.2,44.5,35.3,1.7,5,9.7,16.8,22.3,20.2,14.3,6.9,3.2,9.8,24,32.4,31.1,2.7,90.7,59,1.5,7.8,44.9,45.9,4.5,36.6,50.5,8.4,726.6,1017,1173.7,1066.6,2240.3,1774.5,1405.3,69,198.4,386.3,667.7,888.1,804.3,569,274,127.2,389.5,956.6,1288.9,1240,109,61,309,1787,1827,178,1457,2013,336,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,40.35218978102191,79.31884057971016,114.60647829083389,0.9826689774696664,8.610395446375085,2.347811958405536,35.678571428571395,74.53783231083847,18.237996783827306,65.26472155608842,18.238230088495573,24.454403313609458,10.875724978166094,0,0
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2010,03,2019,3945,341,133,220.3422,0.136,5.77,56.1,55.4,18,25.9,30.3,25.8,217,56.1,44.1,34.6,2.2,4.5,9.4,16.7,23.2,20.6,13.7,6.7,3,9.1,23.6,33.7,31.3,2.2,91.3,59.9,1.5,7.2,45,46.3,3.7,36.4,50.6,9.3,709.2,1021,1196.3,1018.6,2214.9,1741.5,1363.1,85,175.7,369.7,658.7,914.4,814.2,542.3,266,119,359.2,931.8,1329.9,1236,88,61,284,1775,1825,145,1437,1996,367,196,217,238,166,179,195,208,224,238,252,269,184,208,231,270,163,184,224,173,214,255,33.843049792531104,35.88712471131643,118.57314291920069,5.02736842105263,15.355000000000015,61.677382812499935,11.946987951807294,46.51598288447033,27.327691138140658,18.01708342805178,31.000698018337992,17.78502059171597,9.935847510917172,0,0
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2011,03,2020,3780,341,120,220.4677,0.077,5.65,54.1,53.1,20.2,25.6,28,26.1,218,54.2,43,34.2,2.3,5.6,10.3,16.7,22.1,19,13.4,7,3.6,9.5,23.6,30.4,33.2,3.3,90.8,60.1,1.5,7.8,43,47.8,4.3,35.6,49.9,10.1,762.9,968.9,1060.2,988,2048.2,1625.4,1293.3,86.8,212,390.5,631.6,833.8,716.6,505.5,265.6,137.7,358.8,893.5,1150.7,1254,123,55,294,1625,1806,164,1346,1887,383,198,218,239,165,180,194,210,226,239,252,267,184,208,231,270,163,184,224,173,214,255,44.0786705931847,52.19946412622804,106.03310344827585,4.229045323047252,15.240556257901357,8.728894952251041,19.154938271604983,39.40427223050187,26.791834482758844,20.270018691588483,14.689168510907036,12.227201656804729,10.741456768559106,0,0
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2012,03,2021,3673,341,123,222.6344,0.122,5.74,56.4,54.8,18.5,25.1,28.9,27.5,218,56.4,46.1,36.1,1.9,4.7,10,16.3,21.1,20.7,13.4,7.7,4.3,7.9,23.1,32.3,32.4,4.3,92.6,62.7,1.4,6,43.8,48.8,3.7,33.6,51,11.7,679.3,921.7,1060.3,1011.7,2071.9,1692.3,1326.8,69.5,170.9,366.7,597.5,776.1,761.6,491.3,282.3,157.1,291.1,847.8,1185.9,1190.2,158,50,222,1610,1791,135,1235,1874,429,197,218,238,165,181,196,210,227,240,253,275,184,208,231,270,163,184,224,173,214,255,40.65012749681258,19.946445060018455,30.67751587689299,5.514705882352935,31.60619469026549,49.90256762952774,3.436307901907348,102.34584875727128,51.74502823471644,10.405462184873965,57.07257072570726,23.898621420118335,10.07011572052416,0.17446516949160684,0
"McHenry County","x063%","ISAT Mathematics","Math","ISAT",2013,03,2022,3744,341,130,222.0093,0.125,5.75,58.3,55,17.8,23.9,29.1,29.2,217,58.3,47,37.8,2,4.4,9.6,14.7,22.3,20.4,15.3,7.8,3.4,9.1,20.8,31.3,36.1,2.8,91.4,63.8,1.5,7.1,41.6,49.8,3.8,32.5,52.4,11.4,666.9,893.2,1090.1,1093.8,2183.9,1759,1415.8,74.6,164,360.4,550.4,835.6,765.4,572.2,293.1,128.3,339,777.6,1171.4,1350,106,58,265,1558,1863,141,1215,1960,428,196,217,238,163,178,194,210,226,241,255,269,184,208,231,270,163,184,224,173,214,255,19.109098394400988,47.92405063291139,91.78510813030385,1.3883138564273738,11.343830262423204,38.98433889602061,44.543157894736844,113.9872159090909,107.60619126589268,86.37013333333317,22.297768924302925,20.008148165680467,6.444874061135463,0,0
