q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2000,03,2009,111433,200,120,163.8410,0.186,5.87,58.5,57.4,16.9,24.7,28.4,30.1,161,58.5,47.4,38.3,2,4.1,9.1,15.9,21.5,19.7,14.3,8.5,4.9,9.1,19.9,30.3,35,5.7,77.9,null,5.4,16.6,49.9,28.1,null,null,null,null,18807.9,27483.4,31626,33515.7,65141.7,52831.4,42649.5,2173.5,4582.5,10139.4,17765.9,23940.3,21975,15939.3,9474,5443.1,10145.9,22153.6,33732.3,39049.9,6351.3,6037,18547,55589,31260,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,40.09988085782338,2899.72639011474,2255.728575482408,399.54238683127613,348.0703913248465,255.6296076099884,1060.7637715444419,2465.446562680532,2809.45312770251,1746.1280949105965,1581.095030425957,811.0983530699101,1062.5246385714306,1359.2332391129007,628.28361716868
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2001,03,2010,113731,200,120,165.9168,0.134,5.77,57.4,55.3,17.9,24.7,27.8,29.6,163,57.5,46.6,37.7,2,4.5,9.7,16.1,21.2,19.3,14.1,8.4,4.8,9.1,22.1,27.1,37,4.7,81.1,null,4.4,14.6,48.2,32.8,null,null,null,null,20313.3,28073.6,31629.6,33714.5,65344.1,53043.4,42836.5,2255.5,5078.4,10978.4,18277.4,24097.9,21958.3,16064.9,9544.4,5475.8,10304.1,25129.7,30845.1,42055.9,5396.2,4955,16592,54829,37355,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,1233.7154442877288,133.0991609458425,1773.451456310681,32.4638584070795,1183.0843436685007,1701.6770933269977,1136.3047918303216,4976.378053402234,1962.074939759034,2606.1986856319772,137.8302194357444,367.8768412903243,222.12926284023678,2017.0601650980323,58.19194825807098
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2002,03,2011,113381,200,120,166.6363,0.174,5.85,57.8,56.9,17.3,24.8,28,29.8,163,57.9,46.9,37.9,1.8,4.3,9.4,16.1,21.4,19.5,14.3,8.4,4.8,8,21.2,32,30.1,8.6,82,null,3.7,14.3,46,36,null,null,null,null,19659.1,28130.3,31760,33831.6,65591.5,53223.5,42971,2094.2,4928.5,10636.9,18278.1,24219.9,22052.9,16160.8,9549.6,5460.2,9090.2,24065.8,36330.2,34174.1,9720.7,4227,16209,52168,40777,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,776.8746640605921,1207.5454545454563,2146.560640732264,319.8265851528381,364.3033868974038,2776.4198778402124,189.344065040647,1245.467504132235,2642.550606860163,2180.7839850093637,581.1786956521682,1244.7976760165977,998.9496178048805,251.74382142857698,2500.665743538456
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2003,03,2012,113666,200,120,167.2869,0.164,5.83,58.3,56.5,17.2,24.5,28.2,30.1,164,58.3,47.3,38.2,1.9,4.3,9.3,15.9,21.4,19.5,14.3,8.5,4.9,7.3,23.5,27.9,35.8,5.5,83.4,null,3.5,13.1,46.3,37.2,null,null,null,null,19579.2,27870.1,32035.3,34181.4,66216.7,53742.3,43403.9,2140.1,4898.6,10581.5,18023.3,24280.1,22214.2,16259.5,9682.6,5585.9,8303.1,26740.2,31711.7,40637.6,6273.5,3976,14852,52575,42263,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,2257.7804794520557,1919.6833888791446,1260.3959495157017,192.8947368421054,882.3035506402797,1207.7901869158864,382.4584230091952,2666.318027734977,1869.0942420027752,1712.5524881516612,1791.945683802145,1649.8773407346948,982.7243437142902,1554.0416129411733,519.4886496987989
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2004,03,2013,113073,200,120,167.5841,0.162,5.82,56.7,56.4,18.6,24.7,27.5,29.2,166,56.6,45.9,37.1,2.1,4.7,10,16.2,21,19,13.9,8.2,4.7,9,21,30.6,30.9,8.5,85.1,null,3.9,11,46.9,38.2,null,null,null,null,21062.8,27983.4,31052.3,32974.6,64026.8,51900.9,41907.3,2386,5370.9,11274,18356.4,23784.7,21539.6,15684.7,9314.6,5362,10181.8,23699.5,34615.8,34977.4,9598.4,4423,12436,53020,43194,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,220.2271143122672,5280.847126436782,3409.5596436870646,444.99044210526307,1090.0862878787877,707.0656484220902,1378.666986959506,2276.937283398553,796.3410637748461,2012.6068316251808,555.9846857142946,668.1702827027034,2565.631062720003,1381.7846131395406,2494.4275446428637
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2005,03,2014,111105,200,120,168.0367,0.19,5.88,56,57.5,19,25,27.1,28.9,165,56,45.4,36.7,2,4.9,10.3,16.5,20.9,18.8,13.8,8.1,4.7,9.8,20.1,28.8,35.5,5.8,84.8,null,2.8,12.3,45.9,39,null,null,null,null,21106.7,27777.2,30155,32066.1,62221.1,50442.5,40755.1,2225.9,5437.5,11418.9,18309,23271.3,20895.3,15283.1,9042.6,5221.5,10915.4,22308.8,31981,39402.2,6497.7,3155,13689,50976,43285,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,1993.3349728629569,1325.1407372696024,1735.0910489510484,14.114680851063564,103.6379445727484,746.7414620431124,82.78636363636508,964.4886106141975,2557.143631607925,528.0923245484109,1826.497567567576,818.5963856502245,1914.8320983084582,2614.81237857143,1017.6508890452326
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2006,03,2015,110935,342,120,219.2625,0.117,5.73,55.1,54.7,19.8,25.1,26.9,28.2,217,55,44.4,35.8,2.3,5.1,10.5,16.6,21,18.4,13.4,7.9,4.6,10.7,23.2,33.8,29,3.3,89.7,58.2,2.2,8,47,42.8,4.6,37.2,47.3,10.9,22014.7,27861.9,29794.6,31263.8,61058.4,49271.6,39752.9,2592.9,5700.1,11615.8,18453.6,23300.9,20466.4,14891.1,8816.2,5097.9,11921.8,25726.2,37484.2,32127.8,3675,2491,8896,52100,47448,5069,41303,52474,12089,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,1704.3072503961969,2840.4010152284272,3705.7727570399475,309.08825710754,940.9554539516658,36.16747509744482,2071.535131930033,1823.5942622950818,1247.1810958306023,1825.1255313565935,1422.8974296205695,669.1613997633134,0,5.750200381358615,0
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2007,03,2016,111163,341,120,220.9989,0.143,5.79,54.6,55.7,20.1,25.2,26.8,27.8,218,54.7,44.1,35.5,2.3,5.3,10.7,16.7,21,18.4,13.3,7.8,4.5,9.8,23.7,30.7,31.2,4.5,90.6,61.2,2.1,7.4,44.3,46.3,5,33.8,47.6,13.6,22358.7,28022.1,29824.3,30957.9,60782.2,49019.2,39459.2,2525.5,5855.4,11894.5,18569.1,23299.3,20500.1,14789.4,8708.5,5021.2,10911,26334.3,34160.8,34715,5042,2282,8175,49283,51423,5541,37609,52935,15078,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,160.25627567320814,2281.1617799688634,3706.858153078201,213.51317319848332,243.09535962877058,568.5930811348939,1397.5382716049373,1382.2348166935626,1268.1566888519126,2366.7195130902933,2230.178942189424,568.0090951479287,347.75466288210106,0,0
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2008,03,2017,121234,341,120,219.2644,0.102,5.7,55.4,54.1,20,24.6,27,28.4,216,55.3,44.7,36.1,2.4,5.4,10.4,16.3,20.8,18.6,13.6,8,4.6,11.5,24.6,29.9,30.5,3.6,89,59,2,9,43.1,45.9,5.6,35.5,48.7,10.3,24276.8,29876.8,32683.7,34396.7,67080.4,54227.8,43719.6,2929.4,6509.5,12619.6,19739.5,25208.2,22540.1,16451.7,9688.3,5547.7,13936.6,29863.2,36194.2,36916,4324,2480,10876,52284,55594,6752,43013,59039,12430,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,1546.2047289504037,1623.3827160493822,510.6673454719704,114.63523809523797,363.11251356238574,162.51329376854358,2365.0026793688608,2156.761335591576,1620.6931149825818,2805.9457543281,1223.677885736491,726.4069347928992,363.1955069869048,0,0
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2009,03,2018,122340,341,120,218.9823,0.093,5.69,54.7,53.7,20.7,24.6,26.7,28,216,54.7,44.2,35.6,2.5,5.6,10.7,16.3,20.6,18.4,13.3,7.9,4.5,11.9,23.9,30,30.2,4,88.6,57.5,2.1,9.3,43.3,45.3,5.8,36.7,46.6,10.9,25311,30149.6,32683.2,34196.2,66879.4,54075.3,43510.4,3096,6828.1,13108.6,19974.2,25257.8,22567.5,16312.7,9630.9,5564.2,14559.5,29198.3,36739.2,36968,4875,2517,11429,52939,55455,7109,44841,57035,13355,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,1377.9525547445262,2234.3967733114578,3197.1836664369393,70.97053726169813,356.8530557219896,76.23483535528564,1080.047619047618,1960.2862985685078,508.7864691017706,1840.1332933653064,689.2417699115043,767.5347949112423,329.2256499563366,0,0
"State wo CPS County","not x016299%","ISAT Mathematics","Math","ISAT",2010,03,2019,122154,341,120,220.0945,0.128,5.76,54.2,55.1,21.3,24.5,26.5,27.7,217,54.2,43.8,35.3,2.8,5.8,10.8,16.3,20.4,18.3,13.2,7.8,4.5,11.5,24.4,29.9,30.7,3.6,89,57.7,2,9,43.5,45.5,4.9,37.4,45.8,11.9,26012.2,29956.4,32327,33858.5,66185.4,53496.2,43075.2,3450.7,7113.2,13180.8,19964.7,24948.4,22304.5,16155.9,9530.8,5505,14005.4,29767.6,36491.1,37465,4425,2448,10999,53080,55627,5993,45694,55949,14518,196,217,238,166,179,195,208,224,238,252,269,184,208,231,270,163,184,224,173,214,255,1187.82468879668,1178.4330254041581,3465.4515638575153,235.28084210526308,446.0824358974363,1665.2893359374982,377.62168674699,1187.2310093128658,798.6866811468262,517.8243237099326,1079.9778053830305,698.6178401183429,314.05334227074684,0,0
