q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2000,03,2009,24708,200,120,163.6379,0.174,5.85,57.2,56.9,19.5,23.3,26.1,31.1,161,57.2,47.1,38.7,2.5,5,10.2,15.6,19.6,18.3,14,9.1,5.8,11.2,20.2,27.7,34.2,6.7,75.2,null,6.7,18,46,29.2,null,null,null,null,4823.5,5756.5,6438.6,7689.4,14127.9,11646.7,9555.8,624.8,1228.6,2520.9,3849.7,4837.3,4514.1,3451,2252.5,1429.1,2763,4979.6,6855.6,8462.1,1647.8,1660,4459,11372,7217,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,9.451945988879995,581.9382171226831,472.36804767309906,99.24938271604948,93.62343234323426,58.69441141498223,200.01689760054094,529.6984402079725,587.598039780917,381.54958734525553,395.06135902636754,200.0136634650459,236.41737180952427,268.84518641128983,148.7820184337362
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2001,03,2010,24869,200,120,165.5922,0.116,5.73,55.7,54.6,20.9,23.3,24.9,30.8,163,55.8,46.1,38.1,2.7,5.6,10.8,15.9,18.9,17.5,13.5,9.3,5.8,11.5,22.6,24.2,35.9,5.8,77.9,null,5.7,16.4,44.1,33.8,null,null,null,null,5203.7,5796.2,6198.3,7670.8,13869.1,11473.9,9469,678.7,1387.7,2689.1,3947.2,4692.4,4361.5,3354.9,2304.2,1453.3,2847.6,5629.3,6020.3,8939,1432.9,1419,4076,10961,8413,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,291.3274565115185,26.096681922196723,372.776113157014,8.31231858407076,314.6052100840333,377.50116836855784,216.28216810683415,978.8796210163642,425.4179518072284,623.5020093626216,35.3344200626979,98.39353016129078,48.14163928994085,403.8718491666653,14.91819974193714
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2002,03,2011,25299,200,120,166.1273,0.146,5.79,55.7,55.8,20.7,23.5,25,30.7,163,55.8,45.9,37.9,2.6,5.7,10.6,15.9,19.4,17.3,13.8,9.1,5.7,10.4,22.1,28.9,28.8,9.9,78.6,null,5.1,16.3,42.3,36.2,null,null,null,null,5238,5956.1,6335,7769.9,14104.9,11602.5,9599,657.1,1439.4,2673,4030.3,4896.7,4381.4,3486.5,2293.5,1441.2,2633.5,5588.5,7298.8,7286.2,2492.2,1289,4131,10711,9168,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,182.02003420473997,249.94678492239504,438.9176201372995,103.92817467248898,103.55199011124834,650.5091033471775,38.21447154471476,242.5434049586784,564.1682321899747,523.6488944409731,152.1839130434768,326.5445580082988,218.0805503658542,47.318927142858186,590.1608744615372
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2003,03,2012,25382,200,120,166.5967,0.13,5.76,55.6,55.2,20.9,23.5,25.3,30.3,164,55.6,45.5,37.5,2.7,5.3,11,15.6,19.8,17.5,13.5,8.7,5.8,9.5,24.7,25.6,33.8,6.4,79.8,null,4.7,15.5,43.1,36.6,null,null,null,null,5300,5965.8,6432,7684.3,14116.2,11554.6,9518.7,684.1,1357.2,2802.3,3966.8,5017,4442.5,3438,2211.9,1462.2,2404.9,6277.4,6490.9,8574.3,1634.5,1200,3934,10952,9296,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,498.9777397260276,400.22539905279785,264.25022013501587,58.88365650969533,254.6757275902213,290.38359813084077,81.60399139111705,482.6468412942989,413.1259805285104,356.15029620853136,456.21474296799505,470.1176084081635,209.6809066285724,308.73917117646994,129.47946042168766
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2004,03,2013,25116,200,120,167.0030,0.125,5.75,54.8,55,21.4,23.8,25.6,29.2,166,54.8,44.7,36.5,2.7,5.9,11,16.1,19.6,17.7,13.2,8.6,5.2,11.1,21.5,28.7,29.5,9.1,82.3,null,5,12.8,44.7,37.5,null,null,null,null,5386,5977.5,6429,7323.6,13752.6,11225.9,9158,690.6,1474.6,2755,4038.9,4931,4440.8,3325.5,2153.3,1306.3,2798.7,5408,7201.6,7409.7,2298,1248,3203,11234,9431,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,52.027764869888365,1111.5555555555557,702.5875290472502,124.37621052631576,289.7697727272727,152.75958086785,291.9040494166095,497.94432643935295,164.09723211980267,461.6302459736452,133.3105142857164,162.2793115315317,553.2637598400006,276.69905437984613,573.9558997959199
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2005,03,2014,24336,200,120,167.5527,0.16,5.82,54.1,56.4,21.7,24.3,25.1,29,165,54,44.4,36.1,2.7,5.8,11.2,16.7,19.2,17.5,12.9,8.6,5.4,11.8,20.9,26.8,33.9,6.7,82.3,null,3.8,13.9,44.1,38.3,null,null,null,null,5271.9,5919,6097.6,7047.4,13145.1,10794.3,8779.7,666.2,1408.5,2723.4,4066.8,4676.8,4255.3,3139.6,2080.9,1318.5,2878.1,5085.1,6511.8,8242.6,1618.5,917,3386,10724,9309,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,474.1102442333783,272.0616994689158,355.4120979020978,3.7799999999999288,26.32583140877601,169.8884817244613,18.04636363636395,201.29320214669167,499.02952643171716,113.45076991412394,441.5130810810831,201.92044179372206,410.81227243781103,552.0621365250969,237.50430331658444
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2006,03,2015,24035,342,120,218.6449,0.094,5.69,53.9,53.7,21.6,24.5,25.4,28.5,217,53.9,44,36.1,3,6,10.7,16.5,19.8,17.6,13.2,8.3,5,12.4,23.2,31.7,29.1,3.6,88.1,56.9,2.8,9,45.6,42.6,5.6,37.5,45.3,11.6,5196.5,5883.3,6094.6,6860.5,12955.1,10583.5,8683.4,709.8,1431.4,2581.1,3969.8,4759.3,4232.2,3165.1,1984.4,1201.8,2978.3,5568.7,7629.8,6983.2,875,683,2174,10949,10229,1354,9006,10898,2777,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,381.46949286846285,589.1333155223084,767.4836280288146,81.22027194066744,223.81025473546708,7.676959722823742,420.8502816483843,354.5458052073288,258.2972931674302,409.16961427446734,326.7809057527555,151.72845692307686,0,1.2012355932208996,0
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2007,03,2016,23936,341,120,220.2417,0.116,5.73,53.5,54.6,22.9,23.7,25.2,28.3,218,53.4,43.6,35.5,3,6.2,11.7,16.2,19.4,17.4,12.9,8,5.2,11.8,23.9,28.5,30.6,5.2,88.7,59.5,2.7,8.5,43.1,45.6,6.4,34.2,45,14.5,5471.9,5675.3,6025.8,6762.9,12788.8,10433.9,8509,718.1,1480.2,2796,3871.1,4636.7,4170.9,3093,1925.9,1244.2,2814.6,5717.5,6832.8,7322,1249,652,2044,10328,10912,1523,8179,10774,3460,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,36.09116841624819,484.755448884276,759.9403078202992,57.93355246523399,61.75180974477965,135.72867098058757,289.63703703703686,274.91358081623156,259.98388519134755,509.0198898947898,518.1624108241087,148.3937655621301,73.84751528384385,0,0
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2008,03,2017,27173,341,124,218.1332,0.067,5.63,53.3,52.7,22.7,23.9,25.1,28.2,216,53.3,43.6,35.5,3,6.4,11.4,16.1,19.5,17.5,13.1,8.2,4.8,13.6,24.9,27.9,29.9,3.8,86.9,56.8,2.6,10.5,42.3,44.7,6.7,36.5,46.3,10.5,6176,6504,6821,7672.1,14493,11857.8,9643.3,823.3,1729.6,3091.6,4383.9,5286.8,4766.4,3565.2,2216.2,1310,3684.3,6770.4,7571.3,8116,1031,703,2844,11482,12144,1818,9922,12589,2844,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,361.0261437908497,336.0370370370369,108.06073310972711,30.69134920634917,95.09283905967418,39.54071216617152,503.60130991366503,451.79956448100575,348.4129477351924,682.1794723825197,278.95707734162374,171.73660508875733,77.33848873362555,0,0
"Cook wo CPS","x016% not 299","ISAT Mathematics","Math","ISAT",2009,03,2018,27227,341,123,218.3209,0.073,5.65,53.3,52.9,22.9,23.8,25.1,28.2,216,53.3,43.6,35.5,3,6.3,11.7,16,19.4,17.5,13.1,8,5.1,13.5,24,28.3,29.7,4.5,87,56.1,2.5,10.5,42.4,44.6,6.7,37.3,44.5,11.6,6234.9,6487.9,6821.9,7682.3,14504.2,11873.3,9658,817.4,1713.2,3176.5,4356.5,5290,4753,3556,2178.9,1385.4,3685.5,6528.6,7708.9,8089,1215,674,2864,11541,12148,1816,10146,12105,3160,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,316.09215328467167,457.2057697566311,668.2568917987594,17.57885615251292,88.33627920910735,17.81574956672436,216.2738095238093,390.2965235173825,106.34361359981658,404.30941913136127,170.40495575221237,184.51958863905318,65.92569091703152,0,0
