q,cdts,label,subject,test,year,gradelevel,cohort,totalcount,maxscore,minscore,avgscore,zscore,stanineequivalent,paaavg,percentileequivalent,q1pct,q2pct,q3pct,q4pct,mss,paamed,paa60,paa68,s1pct,s2pct,s3pct,s4pct,s5pct,s6pct,s7pct,s8pct,s9pct,p1pct,p2pct,p3pct,p4pct,p5pct,pme,pme13,awpct,blpct,mtpct,expct,awpct13,blpct13,mtpct13,expct13,q1cnt,q2cnt,q3cnt,q4cnt,cntaa50,cntaa60,cntaa68,s1cnt,s2cnt,s3cnt,s4cnt,s5cnt,s6cnt,s7cnt,s8cnt,s9cnt,p1cnt,p2cnt,p3cnt,p4cnt,p5cnt,totalwarning,totalbelow,totalmeet,totalexceed,totalwarning13,totalbelow13,totalmeet13,totalexceed13,q12,q23,q34,s12,s23,s34,s45,s56,s67,s78,s89,p12,p23,p34,p45,belowscore,meetscore,exceedscore,belowscore13,meetscore13,exceedscore13,q1deduct,q2deduct,q3deduct,s1deduct,s2deduct,s3deduct,s4deduct,s5deduct,s6deduct,s7deduct,s8deduct,p1deduct,p2deduct,p3deduct,p4deduct
"Will County","x099%","ISAT Mathematics","Math","ISAT",2000,03,2009,5915,200,120,162.9839,0.138,5.78,56.7,55.5,17.2,26,29.5,27.2,161,56.8,45.7,36.3,1.9,3.9,9.6,17.1,21.8,21.1,13.8,7.4,3.4,8.7,21.4,31,34.6,4.2,77.1,null,5.3,17.6,52.1,25.1,null,null,null,null,1016.8,1539.7,1747.1,1611.4,3358.5,2705.3,2146.5,115.3,230.1,566.5,1011,1286.9,1245.3,815.8,440.4,203.8,516.8,1267.5,1835.3,2049.3,246,311,1041,3081,1482,0,0,0,0,149,161,171,136,142,148,156,165,173,180,190,144,155,167,187,142,153,173,null,null,null,2.173947577442399,148.47396293027361,129.3877695800228,19.722633744855987,16.636916548797725,15.136979785969102,65.17404528556952,139.3090699017909,153.02032285961383,86.19724896836338,74.76430020283945,48.16279933130706,58.653164761904875,70.319953064516,28.976273253012295
"Will County","x099%","ISAT Mathematics","Math","ISAT",2001,03,2010,6373,200,125,165.8161,0.129,5.76,58.7,55.1,16.5,24.8,30.7,28,163,58.7,46.8,36.8,1.6,3.6,9.4,16.8,21.8,21.2,14.3,7.9,3.4,7.4,22.9,28.5,37.9,3.3,82.4,null,3.7,13.9,51,31.4,null,null,null,null,1049.4,1582.8,1958.4,1782.4,3740.8,2982.2,2346.2,101,227.2,598.7,1073.8,1390.2,1352.4,910.9,502.6,216.3,471.8,1462,1813.9,2413.3,212.1,236,885,3249,2003,0,0,0,0,152,163,174,137,144,151,159,168,175,183,189,146,158,169,189,142,153,173,null,null,null,71.62470615890925,6.813119755911499,103.44049213257456,2.0289911504424687,57.85842944074176,105.18608406554243,66.42168106834247,316.20837209302294,112.79493975903601,155.8755023406554,7.274733542320156,17.24422693548395,12.269107100591722,133.34668264705837,3.07139406451647
"Will County","x099%","ISAT Mathematics","Math","ISAT",2002,03,2011,6644,200,124,165.9714,0.137,5.77,56.2,55.5,16.8,27,29.7,26.5,163,56.2,44.2,35,1.5,3.8,9.8,17.8,23,20,13,7.7,3.5,7,22.8,34.2,29.1,6.9,82.5,null,3.1,14.4,49.7,32.9,null,null,null,null,1115.5,1794.6,1974.8,1759.1,3733.9,2935.3,2328.7,96.4,251.7,650.3,1179.6,1530.7,1328.7,860.9,512.5,233.3,465.4,1517.1,2272.7,1931.2,457.7,205,956,3299,2184,0,0,0,0,152,163,175,138,144,152,159,168,176,184,190,146,158,171,188,142,153,173,null,null,null,45.50500855118499,75.88617886178872,124.0709382151029,13.609641921397367,17.88247218788626,162.62727583679438,13.058211382113587,78.31636363636387,145.64580474934064,118.78066208619583,31.28086956521709,70.58763941908715,72.51313585365871,15.86208857142892,129.68503292307665
"Will County","x099%","ISAT Mathematics","Math","ISAT",2003,03,2012,7092,200,124,166.8560,0.143,5.79,57.9,55.7,16.8,25.3,29.7,28.2,164,57.9,46.1,36.7,1.6,4.2,9.2,16.2,22.7,20.3,14.5,7.6,3.7,6.9,23.7,29.4,35.8,4.2,83.9,null,3.4,12.7,48.4,35.6,null,null,null,null,1191.2,1794.2,2108.3,1998.4,4106.6,3271.1,2600.5,116.7,294.8,654.9,1145.8,1608.8,1438.4,1030.3,539.5,262.9,487.4,1681,2086.3,2539,298.4,240,900,3430,2522,0,0,0,0,153,164,175,138,145,152,159,169,177,184,193,146,159,171,190,142,153,173,null,null,null,153.8202054794521,117.64076477810914,76.37525682418541,7.3096952908587305,50.55360884749711,73.66663551401861,27.876540794365045,189.10724191063173,119.754965229485,104.46353672985798,85.94025218234776,109.61291387755108,71.62858394285747,102.36854352941155,27.37693963855441
"Will County","x099%","ISAT Mathematics","Math","ISAT",2004,03,2013,7673,200,120,167.0455,0.128,5.76,55.2,55.1,17.8,27,28.9,26.3,166,55.2,43.6,34.4,1.8,4.4,9.7,17.9,22.5,19.6,12.9,7.4,3.7,8.3,22,32.8,29.9,7,86,null,3.4,10.5,50.4,35.7,null,null,null,null,1362.5,2074.1,2216.7,2019.7,4236.4,3347.2,2641,139,339.3,746.5,1376.3,1724.5,1503.6,987.8,571.5,284.3,633.6,1688.9,2515.7,2295.4,539.4,264,807,3866,2736,0,0,0,0,154,166,176,139,146,153,161,169,176,184,191,148,160,172,189,142,153,173,null,null,null,14.539265799256475,380.42030651340997,229.72889233152597,23.953936842105257,69.6200103305785,50.10121301775145,111.76774193548388,159.22638345444426,53.65577072037144,128.827045387994,35.323657142857705,41.3910794594595,202.5177158400002,98.79054337209344,144.43923306122485
"Will County","x099%","ISAT Mathematics","Math","ISAT",2005,03,2014,7744,200,120,167.2561,0.141,5.78,53.8,55.6,19.3,26.9,27.6,26.2,165,53.8,42.6,34.1,1.8,5.1,10.7,17,22.8,18.7,13.2,7.3,3.4,9.8,20.8,30.9,34.2,4.4,84.7,null,2.6,12.7,48.4,36.3,null,null,null,null,1492.3,2081.7,2140.4,2029.6,4170,3300.8,2641.5,141.2,392.7,825.1,1317.9,1766.4,1450.7,1018.6,565.5,266,755.4,1607.6,2390.7,2649.3,340.9,202,982,3746,2814,0,0,0,0,155,165,176,139,146,154,161,169,178,185,195,149,160,171,192,142,153,173,null,null,null,134.67656037991853,106.96860356138698,128.56461538461534,0.8444680851063671,7.109896073903011,47.031274601687024,6.13363636363647,66.76720333929674,166.0880479074887,36.47232158720725,84.97374774774813,54.573092376681636,146.96422298507466,176.26080262548274,62.91504723618131
"Will County","x099%","ISAT Mathematics","Math","ISAT",2006,03,2015,7992,342,130,217.5818,0.056,5.61,52.4,52.2,20,27.7,27.3,25.1,217,52.4,41.7,33.1,2.3,4.6,11.2,18.4,21.8,18.9,12.5,7,3.4,10.4,25.4,34.9,27,2.3,90.1,55.5,2.2,7.7,50.1,40,4.4,40.1,46.7,8.8,1596.2,2211.6,2179.1,2005,4184.1,3336.5,2644,181.2,367.7,892.5,1474.2,1739.9,1513.3,997.5,557.9,267.8,828.8,2033.2,2787.6,2157.4,185,173,618,4002,3199,351,3203,3731,707,196,217,236,163,180,193,209,223,236,251,267,184,208,231,270,163,184,224,173,214,255,139.7549524564184,206.1082019770238,274.03732809430255,24.817305315203942,78.09549314173745,2.572932005197058,155.40231248147052,137.48722275795564,92.22750491159118,118.69042246129587,82.78449612403138,47.24146094674555,0,0.43902300847478115,0
"Will County","x099%","ISAT Mathematics","Math","ISAT",2007,03,2016,8051,341,131,218.5591,0.056,5.61,51.6,52.2,21,27.4,28,23.6,218,51.7,39.8,30.9,2,5.3,11.7,18.3,22.9,18.4,12.3,6.1,3,9.5,26.3,33,28.1,3.1,90.9,58.7,1.8,7.3,48.6,42.3,4.8,36.5,48.6,10.1,1688.1,2204.3,2257.9,1900.6,4158.6,3207.2,2484.5,161,426.6,939.2,1473.7,1843.3,1481.3,991.3,489.6,245,768.5,2117.3,2660.1,2259,246,145,588,3914,3404,385,2938,3911,817,196,218,239,163,178,194,210,224,239,255,274,184,208,231,270,163,184,224,173,214,255,11.870835235052455,164.55630513751944,265.6352433444258,14.01618204804048,15.36809744779584,49.15578894972631,95.49053497942381,113.17823380216704,90.87672004991674,144.6151627110354,107.99178351783529,44.46255147928993,29.136201484716572,0,0
"Will County","x099%","ISAT Mathematics","Math","ISAT",2008,03,2017,8794,341,140,218.0454,0.064,5.63,53.9,52.6,19.4,26.6,28.2,25.7,216,53.9,42.6,33.5,1.9,4.9,10.6,17.3,22.6,19,13.5,7,3.1,10.5,26.2,31.9,29.2,2.3,90.1,57.7,1.6,8.4,46.3,43.7,4.6,37.7,49.8,7.9,1709.7,2341.7,2480.5,2262,4742.6,3742.6,2949.8,170.5,433.1,934.5,1522.7,1990.6,1671.7,1183.2,614,273.7,920.2,2304.1,2805.7,2565,199,137,737,4075,3845,406,3313,4383,692,195,216,235,163,177,192,208,224,237,253,268,184,208,231,270,163,184,224,173,214,255,110.2681660899654,121.56790123456786,38.02395783421187,8.536666666666656,27.411103074140954,13.921424332344007,193.22203036618052,161.61935639970937,112.88409756097586,195.64392415498682,74.66509133307402,57.801316923076904,29.67327432314453,0,0
"Will County","x099%","ISAT Mathematics","Math","ISAT",2009,03,2018,9011,341,123,218.7967,0.087,5.67,54.7,53.5,18.9,26.3,28.4,26.3,216,54.7,43.4,34.1,1.6,5.2,10.2,17.4,22.2,19.4,13.3,7.2,3.5,10.4,24.7,32.4,29.5,3,90.1,57.9,1.4,8.5,45.3,44.8,4.6,37.5,48.5,9.4,1706.2,2372.2,2563.4,2369.2,4932.6,3913.1,3068.6,147.1,464.2,919.7,1568,1999,1750,1197.3,652.6,313.1,936.5,2226.4,2916.1,2660,272,123,770,4081,4037,416,3381,4370,844,195,216,237,163,177,192,208,224,237,252,267,184,208,231,270,163,184,224,173,214,255,109.84762773722632,167.6171725458026,245.22415575465192,2.9480069324089992,27.744607549430828,5.063908145580568,92.05952380952371,176.0736196319019,39.02394900068931,121.67998934185975,41.10407079646017,54.466625562130154,28.062055807860663,0,0
